id	word1	word2	context	context2	Gold_Complexity	prompt1	prompt2	prompt3	binary_answer1	binary_answer2	binary_answer3	binary_answer4
3381	priest	scatters	"Did I choose him out of all the tribes of Israel to be my priest, to go up to my altar, to burn incense, to wear an ephod before me?"	A king who sits on the throne of judgment scatters away all evil with his eyes.	0	" ""Scatters"""	" ""Scatters"""	 The first sentence is more	0	0	1	0
845	command	nights	"He answered, ""What did Moses command you?"""	"In seven days, I will cause it to rain on the earth for forty days and forty nights."	1	" ""Nights"" is"	" ""Nights"" is"	 The second sentence is more	0	0	0	0
3169	Macedonia	suburbs	"and from there to Philippi, which is a city of Macedonia, the foremost of the district, a Roman colony."	"For the Levites left their suburbs and their possession, and came to Judah and Jerusalem: for Jeroboam and his sons cast them off, that they should not execute the priest's office to Yahweh;"	1	" ""Macedonia"""	" ""Macedonia"""	 The second sentence is more	1	1	0	1
1578	Yahweh	wings	"Yahweh said, Most certainly I will strengthen you for good; most certainly I will cause the enemy to make supplication to you in the time of evil and in the time of affliction."	"Don't curse the king, no, not in your thoughts; and don't curse the rich in your bedroom: for a bird of the sky may carry your voice, and that which has wings may tell the matter."	1	" ""Yahweh"	" ""Yahweh"	 The second sentence is more	1	1	0	1
2334	sight	nights	"and whatever we ask, we receive from him, because we keep his commandments and do the things that are pleasing in his sight."	"In seven days, I will cause it to rain on the earth for forty days and forty nights."	1	" ""Nights"" is"	" ""Nights"" is"	 The second sentence is more	0	0	0	0
1432	land	wheels	"There will be a highway for the remnant that is left of his people from Assyria, like there was for Israel in the day that he came up out of the land of Egypt."	"Then the cherubim lifted up their wings, and the wheels were beside them; and the glory of the God of Israel was over them above."	0	" ""Wheels"""	" ""Wheels"""	 The second sentence is more	0	0	0	0
864	lewdness	shekels	"Therefore thus says the Lord Yahweh: Because you have forgotten me, and cast me behind your back, therefore you also bear your lewdness and your prostitution."	"Of the one thousand seven hundred seventy-five shekels he made hooks for the pillars, overlaid their capitals, and made fillets for them."	0	" ""Shekels"""	" ""Shekels"""	 The first sentence is more	0	0	1	0
3803	abominations	nights	"You therefore shall keep my statutes and my ordinances, and shall not do any of these abominations; neither the native-born, nor the stranger who lives as a foreigner among you;"	"In seven days, I will cause it to rain on the earth for forty days and forty nights."	1	" ""Nights"" is"	" ""Nights"" is"	 The first sentence is more	0	0	1	0
1777	inhabitant	assemblies	"Why have you prophesied in the name of Yahweh, saying, This house shall be like Shiloh, and this city shall be desolate, without inhabitant?"	"I robbed other assemblies, taking wages from them that I might serve you."	0	" ""Inhabitant"	" ""Inhabitant"	 The first sentence is more	1	1	1	1
3823	son	nights	"and asked them, ""Is this your son, whom you say was born blind?"	"In seven days, I will cause it to rain on the earth for forty days and forty nights."	1	" ""Nights"" is"	" ""Nights"" is"	 The second sentence is more	0	0	0	0
3042	ship	shekels	"The length of the ship will be three hundred cubits, its breadth fifty cubits, and its height thirty cubits."	"Of the one thousand seven hundred seventy-five shekels he made hooks for the pillars, overlaid their capitals, and made fillets for them."	0	" ""Shekels"""	" ""Shekels"""	 The second sentence is more	0	0	0	0
3392	Latin	shekels	"Therefore many of the Jews read this title, for the place where Jesus was crucified was near the city; and it was written in Hebrew, in Latin, and in Greek."	"Of the one thousand seven hundred seventy-five shekels he made hooks for the pillars, overlaid their capitals, and made fillets for them."	0	" ""Shekels"""	" ""Shekels"""	 The second sentence is more	0	0	0	0
636	Jerusalem	nights	"But Peter, standing up with the eleven, lifted up his voice, and spoke out to them, ""You men of Judea, and all you who dwell at Jerusalem, let this be known to you, and listen to my words."	"In seven days, I will cause it to rain on the earth for forty days and forty nights."	1	" ""Jerusalem"""	" ""Jerusalem"""	 The first sentence is more	1	1	1	1
2974	brothers	adversaries	"I am a fellow bondservant with you and with your brothers, the prophets, and with those who keep the words of this book."	"I will beat down his adversaries before him, and strike those who hate him."	0	" ""Adversaries"""	" ""Adversaries"""	 The first sentence is more	0	0	1	0
480	virgins	wrath	"Afterward the other virgins also came, saying, 'Lord, Lord, open to us.'"	"Moses said to Aaron, ""Take your censer, and put fire from off the altar in it, and lay incense on it, and carry it quickly to the congregation, and make atonement for them; for wrath has gone out from Yahweh!"	0	" ""Wrath"""	" ""Wrath"""	 The second sentence is more	0	0	0	0
48	nights	wheels	"In seven days, I will cause it to rain on the earth for forty days and forty nights."	"Then the cherubim lifted up their wings, and the wheels were beside them; and the glory of the God of Israel was over them above."	0	" ""Nights"" is"	" ""Nights"" is"	 The second sentence is more	1	1	0	1
3499	messengers	suburbs	"So Joshua sent messengers, and they ran to the tent."	"For the Levites left their suburbs and their possession, and came to Judah and Jerusalem: for Jeroboam and his sons cast them off, that they should not execute the priest's office to Yahweh;"	0	" ""Messengers"" is"	" ""Messengers"" is"	 The second sentence is more	1	1	0	1
2880	son	wheels	"Listen, my son, and be wise, and keep your heart on the right path!"	"Then the cherubim lifted up their wings, and the wheels were beside them; and the glory of the God of Israel was over them above."	0	" ""Son"" is"	" ""Wheels"""	 The second sentence is more	1	0	0	1
2265	James	adversaries	"But of the other apostles I saw no one, except James, the Lord's brother."	"I will beat down his adversaries before him, and strike those who hate him."	0	" ""Adversaries"""	" ""Adversaries"""	 The second sentence is more	0	0	0	0
1276	mouth	adversaries	but I would strengthen you with my mouth.	"I will beat down his adversaries before him, and strike those who hate him."	0	" ""Adversaries"""	" ""Adversaries"""	" The sentence ""I will"	0	0	0	0
2672	wrath	scatters	"Therefore have I poured out my indignation on them; I have consumed them with the fire of my wrath: their own way have I brought on their heads, says the Lord Yahweh."	A king who sits on the throne of judgment scatters away all evil with his eyes.	0	" ""Scatters"""	" ""Scatters"""	 The first sentence is more	0	0	1	0
1469	seas	wrath	"God called the dry land ""earth,"" and the gathering together of the waters he called ""seas."""	"Moses said to Aaron, ""Take your censer, and put fire from off the altar in it, and lay incense on it, and carry it quickly to the congregation, and make atonement for them; for wrath has gone out from Yahweh!"	0	" ""Wrath"""	" ""Wrath"""	 The first sentence is more	0	0	1	0
3387	priest	wrath	"Did I choose him out of all the tribes of Israel to be my priest, to go up to my altar, to burn incense, to wear an ephod before me?"	"Moses said to Aaron, ""Take your censer, and put fire from off the altar in it, and lay incense on it, and carry it quickly to the congregation, and make atonement for them; for wrath has gone out from Yahweh!"	0	" ""Wrath"""	" ""Wrath"""	 The first sentence is more	0	0	1	0
3405	dreams	assemblies	"If there arise in the midst of you a prophet, or a dreamer of dreams, and he give you a sign or a wonder,"	"I robbed other assemblies, taking wages from them that I might serve you."	0	" ""Assemblies"""	" ""Assemblies"""	 The second sentence is more	0	0	0	0
2791	Release	scatters	"Release to us Barabbas!"""	A king who sits on the throne of judgment scatters away all evil with his eyes.	0	" ""Release"" is more"	" ""Scatters"""	" The sentence ""A king"	1	0	0	1
1649	sanctuaries	wrath	"I will lay your cities waste, and will bring your sanctuaries to desolation, and I will not take delight in the sweet fragrance of your offerings."	"Moses said to Aaron, ""Take your censer, and put fire from off the altar in it, and lay incense on it, and carry it quickly to the congregation, and make atonement for them; for wrath has gone out from Yahweh!"	1	" ""Wrath"""	" ""Sanctuaries"""	 The first sentence is more	0	1	1	0
1226	triumphing	adversaries	"that the triumphing of the wicked is short, the joy of the godless but for a moment?"	"I will beat down his adversaries before him, and strike those who hate him."	1	" ""Triumphing"	" ""Triumphing"	 The first sentence is more	1	1	1	1
525	sons	shekels	Moreover Yahweh will deliver Israel also with you into the hand of the Philistines; and tomorrow you and your sons will be with me.	"Of the one thousand seven hundred seventy-five shekels he made hooks for the pillars, overlaid their capitals, and made fillets for them."	0	" ""Shekels"""	" ""Shekels"""	 The second sentence is more	0	0	0	0
2350	gifts	suburbs	"and I polluted them in their own gifts, in that they caused to pass through [the fire] all that opens the womb, that I might make them desolate, to the end that they might know that I am Yahweh."	"For the Levites left their suburbs and their possession, and came to Judah and Jerusalem: for Jeroboam and his sons cast them off, that they should not execute the priest's office to Yahweh;"	0	" ""Suburbs"""	" ""Suburbs"""	 The first sentence is more	0	0	1	0
912	virginity	wheels	"But if this thing be true, that the tokens of virginity were not found in the young lady;"	"Then the cherubim lifted up their wings, and the wheels were beside them; and the glory of the God of Israel was over them above."	0	" ""Wheels"""	" ""Wheels"""	 The second sentence is more	0	0	0	0
1270	mouth	name	but I would strengthen you with my mouth.	"If another comes in his own name, you will receive him."	1	" ""Name"" is more"	" ""Name"" is less"	" The sentence ""but I"	0	0	0	0
4304	waters	adversaries	"The waters surrounded me, even to the soul."	"I will beat down his adversaries before him, and strike those who hate him."	0	" ""Adversaries"""	" ""Adversaries"""	 The second sentence is more	0	0	0	0
3665	Daniel	assemblies	"Then Daniel, whose name was Belteshazzar, was stricken mute for a while, and his thoughts troubled him."	"I robbed other assemblies, taking wages from them that I might serve you."	0	" ""Daniel"" is more"	" ""Daniel"" is less"	 The second sentence is more	1	1	0	1
