word1	word2	sent1	sent2	Gold_Complexity	prompt1_answer	prompt5_answer	prompt7_answer	binary_answer1	binary_answer5	binary_answer7	mode_complexity
mitose	observadores	Além disso, sabe-se que a diferenciação das CTMs é basicamente determinada por mecanismos como proliferação celular (mitose), interações bioquímico-moleculares, movimento, adesão celular e apoptose.	de acordo com a nasa, os observadores que tiverem sorte poderão ver a passagem dos meteoros em seus momentos de chuva mais intensa	1	mitose.	observadores	"(a). ""al"	1	1	1	1
pedras	dissipa	Produzi, pois, frutos dignos de arrependimento, e não comeceis a dizer em vós mesmos: Temos Abraão por pai; porque eu vos digo que até destas pedras pode Deus suscitar filhos a Abraão.	Assentando-se o rei no trono do juízo, com os seus olhos dissipa todo o mal.	0	dissipa.	pedras.	"(a). ""produ"	0	0	1	0
veto	siclos	os líderes partidários no senado entraram em acordo para aprovar a proposta com o compromisso do veto a esse dispositivo pelo presidente interino michel temer, o que efetivamente aconteceu	E dos mil e setecentos e setenta e cinco siclos fez os colchetes das colunas, e cobriu os seus capitéis, e os cingiu de molduras.	0	"""siclos"""	veto.	"(a). ""os"	0	0	1	0
qualquer	dissipa	Porquanto qualquer que a si mesmo se exaltar será humilhado, e aquele que a si mesmo se humilhar será exaltado.	Assentando-se o rei no trono do juízo, com os seus olhos dissipa todo o mal.	0	dissipa.	qualquer	"(a). ""p"	0	0	1	0
passos	arrabaldes	o ministro confirmou que nesta terça-feira, 13, o governo deve anunciar os próximos passos do programa de concessões, mas não adiantou nenhum detalhe	Porque os levitas deixaram os seus arrabaldes, e a sua possessão, e vieram a Judá e a Jerusalém, porque Jeroboão e seus filhos os lançaram fora para que não ministrassem ao SENHOR.	0	arrabaldes.	"""passos"" is"	"(b). ""p"	0	0	0	0
emaranhados	rodas	A dooença de Alzheimer (DA) é uma demência que acomete uma grande parcela da população idosa e caracteriza-se pela presença de emaranhados neurofibrilares e placas senis.	Então os querubins elevaram as suas asas, e as rodas os acompanhavam; e a glória do Deus de Israel estava em cima sobre eles.	1	"""emaranhad"	rodas.	"(a). ""a"	1	1	1	1
enviados	nome	durante toda a sua fala, o presidente defendeu a proposta nos moldes enviados pelo executivo	Eu vim em nome de meu Pai, e não me aceitais; se outro vier em seu próprio nome, a esse aceitareis.	1	enviados	nome	"(b). ""e"	1	1	0	1
inserção	siclos	o governo federal também está investindo na inserção de ações prioritárias de saúde no conjunto de critérios para a comprovação da prestação de serviços ao sus para certificar as entidades beneficentes	E dos mil e setecentos e setenta e cinco siclos fez os colchetes das colunas, e cobriu os seus capitéis, e os cingiu de molduras.	0	inserção	siclos	"(a). ""o"	1	1	1	1
Análise	observadores	Material e Métodos: Análise retrospetiva dos processos clínicos e avaliações imagiológicas de doentes com diagnóstico de espondilodiscite tuberculosa operados entre 1996 e 2011. Foram identificados 33 doentes com idade média de 46,7 anos; 17 doentes apresentavam infeção torácica, 11 lombar e cinco toraco-lombar.	de acordo com a nasa, os observadores que tiverem sorte poderão ver a passagem dos meteoros em seus momentos de chuva mais intensa	1	"""análise"	análise.	"(a). ""material"	1	0	1	1
remodelação	siclos	Foram feitas ressecção cirúrgica da tumoração e curetagem do núcleo de ossificação epifisário do polo superior e medial da patela, com boa remodelação patelar e desenvolvimento normal.	E dos mil e setecentos e setenta e cinco siclos fez os colchetes das colunas, e cobriu os seus capitéis, e os cingiu de molduras.	0	remodelação	siclos is more common	"(a). ""for"	1	1	1	1
bactérias	siclos	As bactérias multirresistentes mais frequentemente identificadas foram SAMR (35,8%), PAMR (29,2%) e bacilos gram negativos com fenótipo ESBL (17,9%).	E dos mil e setecentos e setenta e cinco siclos fez os colchetes das colunas, e cobriu os seus capitéis, e os cingiu de molduras.	0	bactérias	bactérias	"(a). ""as"	1	0	1	1
euro	dissipa	uma vez que aconteceu uma sincronia entre esta debilidade de crescimento económico e o advento do euro, muitos suspeitam que a fonte do problema, nomeadamente nos países do sul das europa, é o euro	Assentando-se o rei no trono do juízo, com os seus olhos dissipa todo o mal.	0	"""dissipa"	euro	"(a) ""uma"	0	0	1	0
tentar	observadores	"motociclista tentar realizar conversão e morre em avenida da capital"	de acordo com a nasa, os observadores que tiverem sorte poderão ver a passagem dos meteoros em seus momentos de chuva mais intensa	0	tentar	observadores.	"(b). ""de"	1	1	0	1
procedimentos	destino	"capinam já respondeu a vários procedimentos na corregedoria da pm e chegou a sofrer prisões administrativas"	passar um dia no monte arafat é uma das etapas mais importantes da peregrinação anual –  conhecida como hajj – de cinco dias que tem como destino a cidade de meca, na qual todos os muçulmanos fisicamente aptos precisam realizar pelo menos uma vez	1	"""procedimentos"	destino.	"(b). ""pass"	1	1	0	1
todos	galeria	capacitar e treinar todos os profissionais de saúde	na sala de inverno, espaço que teve como inspiração a cidade de curitiba (pr), as obras de arte são da galeria zilda fraletti	0	galeria	todos	"(b). ""na"	0	0	0	0
boca	inimigos	Até que de riso te encha a boca, e os teus lábios de júbilo.	E eu derrubarei os seus inimigos perante a sua face, e ferirei aos que o odeiam.	0	inimigos.	boca.	"(b). ""e"	0	0	0	0
organizações	observadores	além disso, o papel da fcc é fundamental para evitar a concentração de poder em uma ou algumas organizações empresariais midiáticas, não apenas por determinação do direito econômico de concorrência, mas também em nome da pluralidade e diversidade na formação da opinião pública, do direito à informação e também da liberdade de expressão dos cidadãos	de acordo com a nasa, os observadores que tiverem sorte poderão ver a passagem dos meteoros em seus momentos de chuva mais intensa	0	organizaçõ	organizaçõ	"(a). ""al"	1	1	1	1
lei	dissipa	Segundo o zelo, perseguidor da igreja, segundo a justiça que há na lei, irrepreensível.	Assentando-se o rei no trono do juízo, com os seus olhos dissipa todo o mal.	0	dissipa.	lei	"(a). ""seg"	0	0	1	0
poente	dissipa	Então temerão o nome do SENHOR desde o poente, e a sua glória desde o nascente do sol; vindo o inimigo como uma corrente de águas, o Espírito do SENHOR arvorará contra ele a sua bandeira.	Assentando-se o rei no trono do juízo, com os seus olhos dissipa todo o mal.	1	"""poente"" is"	dissipa.	"(a). ""ent"	1	1	1	1
Satanás	galeria	E Jesus, respondendo, disse-lhe: Vai-te para trás de mim, Satanás; porque está escrito: Adorarás o SENHOR teu Deus, e só a ele servirás.	na sala de inverno, espaço que teve como inspiração a cidade de curitiba (pr), as obras de arte são da galeria zilda fraletti	0	satanás	"""galeria"" is"	"(a). ""e"	1	1	1	1
teoria	arrabaldes	Apesar de em teoria serem evitáveis a sua eliminação por completo não é uma possibilidade prática, no entanto, o seu estudo possibilita a avaliação e monitorização de resultados e o estabelecimento de prioridades de intervenção.	Porque os levitas deixaram os seus arrabaldes, e a sua possessão, e vieram a Judá e a Jerusalém, porque Jeroboão e seus filhos os lançaram fora para que não ministrassem ao SENHOR.	0	arrabaldes	teoria.	"(a). ""a"	0	0	1	0
enviados	noites	durante toda a sua fala, o presidente defendeu a proposta nos moldes enviados pelo executivo	Porque, passados ainda sete dias, farei chover sobre a terra quarenta dias e quarenta noites; e desfarei de sobre a face da terra toda a substância que fiz.	1	"""enviados"""	noites.	"(b). ""p"	1	1	0	1
estrada	siclos	a estrada de ferro dinamizou essa tendência	E dos mil e setecentos e setenta e cinco siclos fez os colchetes das colunas, e cobriu os seus capitéis, e os cingiu de molduras.	0	siclos	estrada.	"(b). ""e"	0	0	0	0
Selá	noites	Perdoaste a iniqüidade do teu povo; cobriste todos os seus pecados. (Selá.)	Porque, passados ainda sete dias, farei chover sobre a terra quarenta dias e quarenta noites; e desfarei de sobre a face da terra toda a substância que fiz.	1	selá	noites	"(b). ""p"	1	1	0	1
fãs	siclos	uma nova evidência de que bruna marquezine e neymar teriam reatado o romance fez a alegria dos fãs do ex-casal nas redes sociais neste fim de semana	E dos mil e setecentos e setenta e cinco siclos fez os colchetes das colunas, e cobriu os seus capitéis, e os cingiu de molduras.	0	"""fãs"""	fãs.	"(b). ""e"	1	0	0	0
metodologia	galeria	além disso, ainda disponibiliza mapa para visualização do desmatamento e focos de calor nos estados, informações sobre a metodologia de construção dos indicadores, cálculo de efetividade, além de uma série de documentos e links com informações relevantes sobre as políticas de controle do desmatamento e iniciativas de monitoramento de políticas públicas	na sala de inverno, espaço que teve como inspiração a cidade de curitiba (pr), as obras de arte são da galeria zilda fraletti	1	metodologia	galeria	"(a). ""al"	1	1	1	1
qualquer	siclos	Porquanto qualquer que a si mesmo se exaltar será humilhado, e aquele que a si mesmo se humilhar será exaltado.	E dos mil e setecentos e setenta e cinco siclos fez os colchetes das colunas, e cobriu os seus capitéis, e os cingiu de molduras.	0	'siclos'	qualquer	"(a). ""p"	0	0	1	0
financiamento	arrabaldes	apenas financiamento de veículos se manteve inalterada	Porque os levitas deixaram os seus arrabaldes, e a sua possessão, e vieram a Judá e a Jerusalém, porque Jeroboão e seus filhos os lançaram fora para que não ministrassem ao SENHOR.	0	"""financiament"	"""financiament"	"(b). ""p"	1	1	0	1
cordeiros	inimigos	A sua oferta de alimentos e as suas libações para o novilho, para o carneiro e para os cordeiros, conforme o seu número, segundo o estatuto.	E eu derrubarei os seus inimigos perante a sua face, e ferirei aos que o odeiam.	1	"""cordeiros"	inimigos.	"(a). ""a"	1	1	1	1
desafios	siclos	para que possamos enfrentar os enormes desafios da próxima década, precisamos expandir nosso conhecimento sobre segurança cibernética, disse o chefe de desenvolvimento elétrico e eletrônico da volkswagen, volkmar tanneberger	E dos mil e setecentos e setenta e cinco siclos fez os colchetes das colunas, e cobriu os seus capitéis, e os cingiu de molduras.	0	"""desafios"""	desafios	"(b). """	1	0	0	0
fundamentos	observadores	conforme o relator rondon bassil dower filho, embora a defesa alegue que permínio foi exonerado do cargo, entende que persistem os fundamentos utilizados para manter a prisão e que existe o risco de, em liberdade, o ex-secretário reintegrar ao crime	de acordo com a nasa, os observadores que tiverem sorte poderão ver a passagem dos meteoros em seus momentos de chuva mais intensa	1	fundamentos.	observadores	"(a). ""con"	1	1	1	1
padrões	rodas	segundo o ibama, o empreendimento, que é operado pela companhia de geração térmica de energia elétrica (cgtee), subsidiária da eletrobras, também produziu emissões atmosféricas em desacordo com os padrões estabelecidos, deixou de entregar relatórios de monitoramento e descumpriu obrigações do termo de ajustamento de conduta que rege a operação da usina	Então os querubins elevaram as suas asas, e as rodas os acompanhavam; e a glória do Deus de Israel estava em cima sobre eles.	0	"""padrõ"	rodas.	"(a). ""seg"	1	1	1	1
troca	siclos	a demora para a realização da troca está relacionada à correção a um erro	E dos mil e setecentos e setenta e cinco siclos fez os colchetes das colunas, e cobriu os seus capitéis, e os cingiu de molduras.	0	siclos is more difficult	troca.	"(b). ""e"	0	0	0	0
casa	destino	Contudo, diz a casa de Israel: O caminho do Senhor não é direito. Porventura não são direitos os meus caminhos, ó casa de Israel? E não são tortuosos os vossos caminhos?	passar um dia no monte arafat é uma das etapas mais importantes da peregrinação anual –  conhecida como hajj – de cinco dias que tem como destino a cidade de meca, na qual todos os muçulmanos fisicamente aptos precisam realizar pelo menos uma vez	0	destino.	casa.	"(a). ""cont"	0	0	1	0
peixe	destino	Discussão: Têm sido desenvolvidas poderosas ferramentas genéticas e de microscopia in vivo, que também tornaram o peixe-zebra num modelo valioso em investigação biomédica.	passar um dia no monte arafat é uma das etapas mais importantes da peregrinação anual –  conhecida como hajj – de cinco dias que tem como destino a cidade de meca, na qual todos os muçulmanos fisicamente aptos precisam realizar pelo menos uma vez	0	it depends on the context	"""destino"" is"	"(b). ""pass"	1	1	0	1
mudar	dissipa	eles estão usando a estrutura das lombofaixas construída sob o canteiro central da avenida aparecida muniz michielin como atalho pra mudar de sentido da via	Assentando-se o rei no trono do juízo, com os seus olhos dissipa todo o mal.	0	dissipa.	mudar.	"(b). ""ass"	0	0	0	0
lei	siclos	Segundo o zelo, perseguidor da igreja, segundo a justiça que há na lei, irrepreensível.	E dos mil e setecentos e setenta e cinco siclos fez os colchetes das colunas, e cobriu os seus capitéis, e os cingiu de molduras.	0	siclos.	lei	"(b). ""e"	0	0	0	0
língua	observadores	Todavia lisonjeavam-no com a boca, e com a língua lhe mentiam.	de acordo com a nasa, os observadores que tiverem sorte poderão ver a passagem dos meteoros em seus momentos de chuva mais intensa	0	"""observadores"	língua.	"(b). ""de"	0	0	0	0
rodadas	destino	a versão traduzida da escala passou por duas rodadas de avaliação pelos juízes, a partir das quais os itens com desempenho insatisfatório foram modificados.	passar um dia no monte arafat é uma das etapas mais importantes da peregrinação anual –  conhecida como hajj – de cinco dias que tem como destino a cidade de meca, na qual todos os muçulmanos fisicamente aptos precisam realizar pelo menos uma vez	1	"""destino"" is"	destino.	"(b). ""pass"	0	1	0	0
Macedônia	nome	E dali para Filipos, que é a primeira cidade desta parte da Macedônia, e é uma colônia; e estivemos alguns dias nesta cidade.	Eu vim em nome de meu Pai, e não me aceitais; se outro vier em seu próprio nome, a esse aceitareis.	1	macedônia.	nome	"(b). ""e"	1	1	0	1
mares	noites	E chamou Deus à porção seca Terra; e ao ajuntamento das águas chamou Mares; e viu Deus que era bom.	Porque, passados ainda sete dias, farei chover sobre a terra quarenta dias e quarenta noites; e desfarei de sobre a face da terra toda a substância que fiz.	1	"""noites."""	noites.	"(b). ""p"	0	1	0	0
anjo	arrabaldes	E, tendo eles se retirado, eis que o anjo do Senhor apareceu a José em sonhos, dizendo: Levanta-te, e toma o menino e sua mãe, e foge para o Egito, e demora-te lá até que eu te diga; porque Herodes há de procurar o menino para o matar.	Porque os levitas deixaram os seus arrabaldes, e a sua possessão, e vieram a Judá e a Jerusalém, porque Jeroboão e seus filhos os lançaram fora para que não ministrassem ao SENHOR.	0	"""arrabaldes"	arrabaldes.	"(a). ""e"	0	1	1	1
vestido	galeria	Pus por vestido um saco, e me fiz um provérbio para eles.	na sala de inverno, espaço que teve como inspiração a cidade de curitiba (pr), as obras de arte são da galeria zilda fraletti	0	vestido	galeria	"(b). ""na"	1	1	0	1
viúvas	siclos	E a minha ira se acenderá, e vos matarei à espada; e vossas mulheres ficarão viúvas, e vossos filhos órfãos.	E dos mil e setecentos e setenta e cinco siclos fez os colchetes das colunas, e cobriu os seus capitéis, e os cingiu de molduras.	0	"""viúvas"""	"""viúvas"""	"(a). ""e"	1	0	1	1
tentar	destino	"motociclista tentar realizar conversão e morre em avenida da capital"	passar um dia no monte arafat é uma das etapas mais importantes da peregrinação anual –  conhecida como hajj – de cinco dias que tem como destino a cidade de meca, na qual todos os muçulmanos fisicamente aptos precisam realizar pelo menos uma vez	0	destino.	destino	"(b). ""pass"	0	1	0	0
deficiências	dissipa	contratar profissionais especializados nas clinicas de maior demanda montagem de serviço de atendimento domiciliar para pessoas idosas, portadoras de deficiências e necessidades especiais criar samu	Assentando-se o rei no trono do juízo, com os seus olhos dissipa todo o mal.	0	"""deficiên"	deficiênci	"(a). ""cont"	1	1	1	1
democracia	galeria	e, ao mesmo tempo, criou uma poderosa máquina de propaganda para disseminar a ideologia da democracia liberal de bem-estar social e do american way of life, como padrões políticos e de vida ideais	na sala de inverno, espaço que teve como inspiração a cidade de curitiba (pr), as obras de arte são da galeria zilda fraletti	0	democracia.	galeria	"(a). ""e"	1	1	1	1
deterioração	inimigos	a rentabilidade do sistema bancário reduziu-se, influenciada pela deterioração da qualidade do crédito e o consequente aumento das despesas com provisões	E eu derrubarei os seus inimigos perante a sua face, e ferirei aos que o odeiam.	1	"""deteriora"	inimigos.	"(a). ""a"	1	1	1	1
contar	observadores	Porque subiam com os seus gados e tendas; vinham como gafanhotos, em grande multidão que não se podia contar, nem a eles nem aos seus camelos; e entravam na terra, para a destruir.	de acordo com a nasa, os observadores que tiverem sorte poderão ver a passagem dos meteoros em seus momentos de chuva mais intensa	0	observadores.	contar	"(a). ""p"	0	0	1	0
multidão	rodas	Ali está Elão com toda a sua multidão em redor do seu sepulcro; todos eles mortos, abatidos à espada; desceram incircuncisos às partes mais baixas da terra, causaram terror na terra dos viventes e levaram a sua vergonha com os que desceram à cova.	Então os querubins elevaram as suas asas, e as rodas os acompanhavam; e a glória do Deus de Israel estava em cima sobre eles.	1	multidão	multidão. 	"(a). ""ali"	1	0	1	1
arcos	galeria	Porque o destruidor vem sobre ela, sobre Babilônia, e os seus poderosos serão presos, já estão quebrados os seus arcos; porque o SENHOR, Deus das recompensas, certamente lhe retribuirá.	na sala de inverno, espaço que teve como inspiração a cidade de curitiba (pr), as obras de arte são da galeria zilda fraletti	1	arcos is more difficult	galeria	"(a). """	1	1	1	1
escabelo	destino	Daqui em diante esperando até que os seus inimigos sejam postos por escabelo de seus pés.	passar um dia no monte arafat é uma das etapas mais importantes da peregrinação anual –  conhecida como hajj – de cinco dias que tem como destino a cidade de meca, na qual todos os muçulmanos fisicamente aptos precisam realizar pelo menos uma vez	1	"""escabelo"""	destino.	"(b) ""pass"	1	1	1	1
povos	siclos	Também os levarei ao meu santo monte, e os alegrarei na minha casa de oração; os seus holocaustos e os seus sacrifícios serão aceitos no meu altar; porque a minha casa será chamada casa de oração para todos os povos.	E dos mil e setecentos e setenta e cinco siclos fez os colchetes das colunas, e cobriu os seus capitéis, e os cingiu de molduras.	0	"""povos"""	siclos.	"(a). ""t"	1	1	1	1
descrédito	arrabaldes	E não somente há o perigo de que a nossa profissão caia em descrédito, mas também de que o próprio templo da grande deusa Diana seja estimado em nada, vindo a ser destruída a majestade daquela que toda a Ásia e o mundo veneram.	Porque os levitas deixaram os seus arrabaldes, e a sua possessão, e vieram a Judá e a Jerusalém, porque Jeroboão e seus filhos os lançaram fora para que não ministrassem ao SENHOR.	0	"""arrabaldes"	arrabaldes	"(a). ""e"	0	1	1	1
Babilônia	galeria	E agora eu entreguei todas estas terras na mão de Nabucodonosor, rei de Babilônia, meu servo; e ainda até os animais do campo lhe dei, para que o sirvam.	na sala de inverno, espaço que teve como inspiração a cidade de curitiba (pr), as obras de arte são da galeria zilda fraletti	1	"""babilônia"	galeria.	"(a). ""e"	1	1	1	1
direita	inimigos	Se eu me esquecer de ti, ó Jerusalém, esqueça-se a minha direita da sua destreza.	E eu derrubarei os seus inimigos perante a sua face, e ferirei aos que o odeiam.	1	inimigos.	"""inimigos"	"(a). ""se"	0	1	1	1
fronteira	rodas	Ouvindo, pois, todos os moabitas que os reis tinham subido para pelejarem contra eles, convocaram a todos os que estavam em idade de cingir cinto e daí para cima, e puseram-se às fronteiras.	Então os querubins elevaram as suas asas, e as rodas os acompanhavam; e a glória do Deus de Israel estava em cima sobre eles.	1	fronteira	rodas.	"(a). ""o"	1	1	1	1
gerenciamento	destino	pesquisa descritiva que contemplou as etapas de construção/aplicação do instrumento proposto e a avaliação de desempenho do gerenciamento de resíduos nas unidades estudadas.	passar um dia no monte arafat é uma das etapas mais importantes da peregrinação anual –  conhecida como hajj – de cinco dias que tem como destino a cidade de meca, na qual todos os muçulmanos fisicamente aptos precisam realizar pelo menos uma vez	0	"""gerenciament"	destino	"(a). ""pes"	1	1	1	1
visualizar	noites	foi quando conseguimos visualizar dois indivíduos, com as características descritas pelos denunciantes e realizamos a abordagem	Porque, passados ainda sete dias, farei chover sobre a terra quarenta dias e quarenta noites; e desfarei de sobre a face da terra toda a substância que fiz.	1	"""visualizar"""	noites.	"(b). ""p"	1	1	0	1
teste	noites	Os dados foram comparados entre os grupos, utilizando o teste t de Student ou teste de Mann-Whitney análise.	Porque, passados ainda sete dias, farei chover sobre a terra quarenta dias e quarenta noites; e desfarei de sobre a face da terra toda a substância que fiz.	1	noites	noites.	"(a). ""os"	0	1	1	1
carros	siclos	E, tirando eu a vossos pais do Egito, viestes ao mar; e os egípcios perseguiram a vossos pais com carros e com cavaleiros, até ao Mar Vermelho.	E dos mil e setecentos e setenta e cinco siclos fez os colchetes das colunas, e cobriu os seus capitéis, e os cingiu de molduras.	0	siclos.	carros.	"(a). ""e"	0	0	1	0
hidrovia	noites	daniela alarcon – o projeto de hidrovia é voltado para o escoamento de commodities e surge do interesse do setor do agronegócio em encurtar as rotas logísticas existentes nesse processo e, assim, reduzir os seus custos	Porque, passados ainda sete dias, farei chover sobre a terra quarenta dias e quarenta noites; e desfarei de sobre a face da terra toda a substância que fiz.	1	hidrovia	noites	"(b). ""p"	1	1	0	1
adesivos	galeria	os advogados de emanuel argumentam que rogers participa ativamente de atos políticos com adesivos do adversário wilson santos (psdb) colados na roupa	na sala de inverno, espaço que teve como inspiração a cidade de curitiba (pr), as obras de arte são da galeria zilda fraletti	0	"""adesivos"""	galeria	"(a). ""os"	1	1	1	1
propostas	arrabaldes	o citi recebeu propostas vinculantes pelo seus ativos até 1º de agosto e a expectativa de executivos próximos às negociações é de que um contrato de exclusividade seja fechado em breve	Porque os levitas deixaram os seus arrabaldes, e a sua possessão, e vieram a Judá e a Jerusalém, porque Jeroboão e seus filhos os lançaram fora para que não ministrassem ao SENHOR.	0	"""arrabaldes"	"""propostas"""	"(b). ""p"	0	0	0	0
Abel	noites	E ele passou por todas as tribos de Israel até Abel, e Bete-Maaca e a todos os beritas; e ajuntaram-se, e também o seguiram.	Porque, passados ainda sete dias, farei chover sobre a terra quarenta dias e quarenta noites; e desfarei de sobre a face da terra toda a substância que fiz.	0	noites.	abel	"(b). ""p"	0	0	0	0
