word1	word2	sent1	sent2	Gold_Complexity	prompt1_answer	prompt5_answer	prompt7_answer	binary_answer1	binary_answer5	binary_answer7	mode_complexity
tentar	responsabilidade	a solução é fazer o que fizemos com rigor administrativo, avaliação de enxugamento da máquina e tentar adequar á nova realidade financeira	os reparos vão despertar nos estudantes a responsabilidade pela preservação da escola	0	it depends on the context	responsabilidade.	"(a). ""a"	1	1	1	1
mesa	mecanismo	bolsonaro, então, dirigiu-se à mesa e protestou, gritando e com o dedo em riste, contra a decisão	a principal descoberta foi o chamado mecanismo de antikythera, um dispositivo do segundo século antes de cristo, que é às vezes chamado de o computador mais antigo do mundo	0	mecanismo.	mecanismo.	"(b). ""a"	0	1	0	0
adesivos	autoridades	os advogados de emanuel argumentam que rogers participa ativamente de atos políticos com adesivos do adversário wilson santos (psdb) colados na roupa	a ideia é fazer os jovens questionarem, entenderem, encontrarem soluções e apresentá-las a autoridades no final do ano	1	autoridades.	autoridades	"(a). ""os"	0	1	1	1
juramento	tributação	de acordo com as investigações, alguns dos envolvidos chegaram a noticiar a realização do batismo ao estado islâmico, conhecido como bayat – juramento de fidelidade exigido pela organização terrorista para o acolhimento de novos membros	a excessiva tributação sobre heranças encerra, também, controvérsias de natureza conceitual	0	juramento	tributação	"(a). ""de"	1	1	1	1
marcação	responsabilidade	ele também comentou a proposta do vereador elias vaz (psb), aprovada em primeira votação na câmara municipal, que estabelece prazo máximo para marcação de consultas e exames no sus	os reparos vão despertar nos estudantes a responsabilidade pela preservação da escola	1	marcação	responsabilidade.	"(a). ""ele"	1	1	1	1
seleção	ofensa	o atacante hulk, da seleção brasileira, contestou o escritor e disse que ele não demonstra conhecimento da importância da região para o país	o processo foi analisado na 2ª instância pela desembargadora khatia maria bomtempo de albuquerque, que concluiu que ficou caracterizada a situação de violação ao direito fundamental de ir e vir, ou seja, cárcere privado, e, consequentemente, ofensa ao patrimônio moral do trabalhador, que deverá receber compensação pecuniária	1	seleção	seleção.	"(b). ""o"	1	0	0	0
grupo	mecanismo	por isso, a empresa resolveu investir na máquina cata moeda prosegur, instala na unidade do alto da xv do grupo	a principal descoberta foi o chamado mecanismo de antikythera, um dispositivo do segundo século antes de cristo, que é às vezes chamado de o computador mais antigo do mundo	0	mecanismo.	grupo	"(b). ""a"	0	0	0	0
extremismo	visualizar	demais temas que preocupam pouco os brasileiros são declínio moral (7%), alta do extremismo (3%), terrorismo (2%), imigração (1%), ameaças contra o meio ambiente (4%) e mudança climática (2%)	foi quando conseguimos visualizar dois indivíduos, com as características descritas pelos denunciantes e realizamos a abordagem	1	extremismo.	visualizar	"(a) ""dem"	1	1	1	1
referendo	observadores	o acordo será assinado na segunda-feira em cartagena, em um ato que contará com a presença do secretário-geral da onu, ban ki-moon, e depois será submetido a um referendo no dia 2 de outubro	de acordo com a nasa, os observadores que tiverem sorte poderão ver a passagem dos meteoros em seus momentos de chuva mais intensa	1	referendo.	observadores	"(a). ""o"	1	1	1	1
processos	destino	por último, mas não menos importante, o controle dos processos de separação, expedição e entrega da mercadoria deve estar no escopo de ações para redução de fraudes e desvios de mercadoria no comércio eletrônico	passar um dia no monte arafat é uma das etapas mais importantes da peregrinação anual –  conhecida como hajj – de cinco dias que tem como destino a cidade de meca, na qual todos os muçulmanos fisicamente aptos precisam realizar pelo menos uma vez	0	processos.	destino	"(a). ""por"	1	1	1	1
padrões	visualizar	eu me recuso a aceitar os padrões	foi quando conseguimos visualizar dois indivíduos, com as características descritas pelos denunciantes e realizamos a abordagem	0	"""padrõ"	visualizar.	"(b). ""f"	1	1	0	1
ofensa	destino	o processo foi analisado na 2ª instância pela desembargadora khatia maria bomtempo de albuquerque, que concluiu que ficou caracterizada a situação de violação ao direito fundamental de ir e vir, ou seja, cárcere privado, e, consequentemente, ofensa ao patrimônio moral do trabalhador, que deverá receber compensação pecuniária	passar um dia no monte arafat é uma das etapas mais importantes da peregrinação anual –  conhecida como hajj – de cinco dias que tem como destino a cidade de meca, na qual todos os muçulmanos fisicamente aptos precisam realizar pelo menos uma vez	0	destino.	destino	"(a). ""o"	0	1	1	1
aprovação	observadores	o procurador-geral defendeu a atuação do ministério público nas investigações do esquema de corrupção que atuava na petrobras e defendeu a aprovação no congresso nacional do pacote de 10 medidas que têm como objetivo aumentar o rigor no combate à corrupção	de acordo com a nasa, os observadores que tiverem sorte poderão ver a passagem dos meteoros em seus momentos de chuva mais intensa	0	"""aprovaç"	aprovação	"(a). ""o"	1	0	1	1
iminência	autoridades	portanto, estamos na iminência de perder esse legado que é a participação popular, disse a professora à ebc	a ideia é fazer os jovens questionarem, entenderem, encontrarem soluções e apresentá-las a autoridades no final do ano	1	iminência	autoridades	"(a). ""port"	1	1	1	1
conhecimento	comitês	o atacante hulk, da seleção brasileira, contestou o escritor e disse que ele não demonstra conhecimento da importância da região para o país	para graça, a implantação dos comitês estaduais é um clamor social das organizações, que visa travar o ódio e processo de intolerância religiosa que tem sido travado nos últimos dias	0	"""conheciment"	comitês	"(b). ""p"	1	1	0	1
observadores	autoridades	de acordo com a nasa, os observadores que tiverem sorte poderão ver a passagem dos meteoros em seus momentos de chuva mais intensa	a ideia é fazer os jovens questionarem, entenderem, encontrarem soluções e apresentá-las a autoridades no final do ano	1	"""observadores"	autoridades.	"(b). ""a"	1	1	0	1
intérpretes	mecanismo	nos jogos surdolímpicos, os atletas são capazes de competir e interagir entre si livremente, sem a necessidade de intérpretes de língua de sinais	a principal descoberta foi o chamado mecanismo de antikythera, um dispositivo do segundo século antes de cristo, que é às vezes chamado de o computador mais antigo do mundo	1	intérpretes.	mecanismo	"(b). ""a"	1	1	0	1
parceria	galeria	essa e outras questões serão discutidas a partir de hoje, até a próxima quinta-feira, 15, na caldeirada - comunicação e cultura, evento promovido pela faculdade de comunicação da universidade federal do pará, em parceria com o núcleo de fotografia do centro cultural sesc boulevard	na sala de inverno, espaço que teve como inspiração a cidade de curitiba (pr), as obras de arte são da galeria zilda fraletti	0	parceria.	galeria	"(a). ""essa"	1	1	1	1
velas	visualizar	ao menor sinal de alerta, parávamos os cânticos, o batuque, apagávamos todas as velas e lamparinas, contínhamos os incorporados	foi quando conseguimos visualizar dois indivíduos, com as características descritas pelos denunciantes e realizamos a abordagem	0	visualizar.	visualizar.	"(a). ""ao"	0	1	1	1
decisão	galeria	a ministra se declarou impedida para julgar a ação que pede o pagamento da correção de planos econômicos da década de 1990, porque o pai dela entrou na justiça e seria beneficiado pela decisão do stf	na sala de inverno, espaço que teve como inspiração a cidade de curitiba (pr), as obras de arte são da galeria zilda fraletti	0	decisão.	galeria	"(a). ""a"	1	1	1	1
fundos	comitês	atenta à necessidade de melhorar a transparência dos fundos, a entidade lançará em seu congresso que começa nesta segunda-feira, 12, em florianópolis, o seu primeiro código de governança de investimentos, de adesão voluntária dos fundos	para graça, a implantação dos comitês estaduais é um clamor social das organizações, que visa travar o ódio e processo de intolerância religiosa que tem sido travado nos últimos dias	0	"""comitês"	comitês.	"(a). ""at"	0	1	1	1
recursos	tributação	mesmo com esse crescimento há necessidade de se colocar mais recursos nos municípios	a excessiva tributação sobre heranças encerra, também, controvérsias de natureza conceitual	1	tributação	recursos	"(b). ""a"	0	0	0	0
item	destino	desde 2009, a proficiência dos participantes do enem nas provas objetivas é calculada por meio da teoria de resposta ao item (tri)	passar um dia no monte arafat é uma das etapas mais importantes da peregrinação anual –  conhecida como hajj – de cinco dias que tem como destino a cidade de meca, na qual todos os muçulmanos fisicamente aptos precisam realizar pelo menos uma vez	0	destino	item	"(b). ""pass"	0	0	0	0
declarações	tributação	a magistrada determinou ainda a proibição de frequentar qualquer órgão público estadual, exceto para prestar declarações no interesse da autoridade policial, do mpe e do juízo e a monitoração eletrônica	a excessiva tributação sobre heranças encerra, também, controvérsias de natureza conceitual	1	tributação	tributação	"(a). ""a"	0	1	1	1
missões	destino	o oceano de europa é considerado um dos locais mais promissores para ter vida no nosso sistema solar, disse geoff yoder, da diretoria de missões científicas da nasa, em washington (eua)	passar um dia no monte arafat é uma das etapas mais importantes da peregrinação anual –  conhecida como hajj – de cinco dias que tem como destino a cidade de meca, na qual todos os muçulmanos fisicamente aptos precisam realizar pelo menos uma vez	0	missões	destino	"(a). ""o"	1	1	1	1
procedimentos	responsabilidade	"capinam já respondeu a vários procedimentos na corregedoria da pm e chegou a sofrer prisões administrativas"	os reparos vão despertar nos estudantes a responsabilidade pela preservação da escola	1	"""procedimentos"	responsabilidade.	"(a). ""cap"	1	1	1	1
brevemente	comitês	calos rodrigues termina a nota referindo esperar que muito brevemente se reiniciem os exames efetuados pelo aparelho de tac do hospital sousa martins	para graça, a implantação dos comitês estaduais é um clamor social das organizações, que visa travar o ódio e processo de intolerância religiosa que tem sido travado nos últimos dias	0	"""comitês"	comitês	"(b). ""p"	0	1	0	0
acordos	comitês	os ex-funcionários envolvidos firmaram acordos de delação premiada com o grupo especial de delitos econômicos (gedec), do mpe	para graça, a implantação dos comitês estaduais é um clamor social das organizações, que visa travar o ódio e processo de intolerância religiosa que tem sido travado nos últimos dias	0	"""comitês"	comitês.	"(a). ""os"	0	1	1	1
ocasião	autoridades	na ocasião os aliados da ditadura ou do regime discricionário como queiram sabendo do quanto às diretas desgastariam a imagem do poder iniciaram uma incrível e maciça infidelidade partidária migrando parte para o pmdb e criando a frente liberal apresentando a nação o pfl	a ideia é fazer os jovens questionarem, entenderem, encontrarem soluções e apresentá-las a autoridades no final do ano	1	autoridades.	autoridades	"(a). ""na"	0	1	1	1
tecnologia	galeria	desenvolver políticas públicas para a valorização da leitura na escola e em casa preparar corpo técnico e docente para utilizar novas técnicas de ensino baseada na tecnologia atual	na sala de inverno, espaço que teve como inspiração a cidade de curitiba (pr), as obras de arte são da galeria zilda fraletti	1	tecnologia	tecnologia.	"(a). ""des"	1	0	1	1
número	responsabilidade	ampliar o número de creches	os reparos vão despertar nos estudantes a responsabilidade pela preservação da escola	0	responsabilidade.	número.	"(b). ""os"	0	0	0	0
parceria	responsabilidade	essa e outras questões serão discutidas a partir de hoje, até a próxima quinta-feira, 15, na caldeirada - comunicação e cultura, evento promovido pela faculdade de comunicação da universidade federal do pará, em parceria com o núcleo de fotografia do centro cultural sesc boulevard	os reparos vão despertar nos estudantes a responsabilidade pela preservação da escola	1	"""responsabilid"	responsabilidade.	"(a). ""essa"	1	1	1	1
cotas	visualizar	além de outros dispositivos legais que tratam da inserção da pessoa com deficiência no mercado de trabalho, como a lei 7853/1989, diversas universidades no país já adotam o sistema de cotas	foi quando conseguimos visualizar dois indivíduos, com as características descritas pelos denunciantes e realizamos a abordagem	1	"""visualizar"""	visualizar	"(a). ""al"	0	1	1	1
financiamento	responsabilidade	apenas financiamento de veículos se manteve inalterada	os reparos vão despertar nos estudantes a responsabilidade pela preservação da escola	1	"""financiament"	responsabilidade.	"(b). ""os"	1	1	0	1
ruínas	autoridades	de marketing), pois esta reportagem deu uma boa enfatizada nas fotos dos destroços e detalhando as ruínas do que sobrou da fábrica, o que dependendo de quem ler, pode interpretar que foi descaso por parte da estrela e isso pode gerar uma má impressão, mas sabemos que não é estamos entendendo o objetivo desta matéria	a ideia é fazer os jovens questionarem, entenderem, encontrarem soluções e apresentá-las a autoridades no final do ano	1	ruínas	autoridades.	"(a). ""de"	1	1	1	1
volatilidade	observadores	em coletiva de imprensa sobre as ações prioritárias do bc no curto, médio e longo prazo, ele afirmou ainda que a autoridade monetária quer revisar o relacionamento com o tesouro para diminuir a volatilidade dos fluxos	de acordo com a nasa, os observadores que tiverem sorte poderão ver a passagem dos meteoros em seus momentos de chuva mais intensa	1	"""volatilid"	observadores.	"(a). ""em"	1	1	1	1
troca	ofensa	a demora para a realização da troca está relacionada à correção a um erro	o processo foi analisado na 2ª instância pela desembargadora khatia maria bomtempo de albuquerque, que concluiu que ficou caracterizada a situação de violação ao direito fundamental de ir e vir, ou seja, cárcere privado, e, consequentemente, ofensa ao patrimônio moral do trabalhador, que deverá receber compensação pecuniária	0	ofensa.	ofensa	"(b). ""o"	0	1	0	0
consumidores	tributação	próximo à via dutra e à via light, o shopping que leva o nome da cidade contará com uma atmosfera moderna e de qualidade, que trará marcas exclusivas para a região, além de reunir opções de serviço, entretenimento e lazer pensados especialmente para atender as necessidades da clientela local e proporcionar uma experiência única aos consumidores	a excessiva tributação sobre heranças encerra, também, controvérsias de natureza conceitual	0	tributação	consumidores	"(a). ""pr"	0	0	1	0
consumidores	ofensa	próximo à via dutra e à via light, o shopping que leva o nome da cidade contará com uma atmosfera moderna e de qualidade, que trará marcas exclusivas para a região, além de reunir opções de serviço, entretenimento e lazer pensados especialmente para atender as necessidades da clientela local e proporcionar uma experiência única aos consumidores	o processo foi analisado na 2ª instância pela desembargadora khatia maria bomtempo de albuquerque, que concluiu que ficou caracterizada a situação de violação ao direito fundamental de ir e vir, ou seja, cárcere privado, e, consequentemente, ofensa ao patrimônio moral do trabalhador, que deverá receber compensação pecuniária	0	consumidores.	consumidores	"(b). ""o"	1	0	0	0
todos	destino	capacitar e treinar todos os profissionais de saúde	passar um dia no monte arafat é uma das etapas mais importantes da peregrinação anual –  conhecida como hajj – de cinco dias que tem como destino a cidade de meca, na qual todos os muçulmanos fisicamente aptos precisam realizar pelo menos uma vez	0	destino.	todos	"(b). ""pass"	0	0	0	0
explicação	responsabilidade	então, podemos ter nisso a explicação para a crise da água em são paulo	os reparos vão despertar nos estudantes a responsabilidade pela preservação da escola	1	responsabilidade	responsabilidade.	"(a). ""ent"	0	1	1	1
adesão	ofensa	@@@ já em colorado do oeste, o concorrente do pv, edmilson rodrigues, o edinho da rádio, aposta na adesão de dois grupos comunitários de peso para potencializar sua candidatura	o processo foi analisado na 2ª instância pela desembargadora khatia maria bomtempo de albuquerque, que concluiu que ficou caracterizada a situação de violação ao direito fundamental de ir e vir, ou seja, cárcere privado, e, consequentemente, ofensa ao patrimônio moral do trabalhador, que deverá receber compensação pecuniária	1	"""adesão"" is"	adesão.	"(b). ""o"	1	0	0	0
criação	visualizar	a pma foi ao local nesse domingo (11) e verificou a criação e manutenção de 15 animais domésticos da espécie galo-índio (gallus gallus domesticus) em espaço inadequado	foi quando conseguimos visualizar dois indivíduos, com as características descritas pelos denunciantes e realizamos a abordagem	1	criação.	visualizar	"(a). ""a"	1	1	1	1
problemas	comitês	na hora da reunião a gente senta e coloca todos os problemas e decide o que fazer junto com a comunidade	para graça, a implantação dos comitês estaduais é um clamor social das organizações, que visa travar o ódio e processo de intolerância religiosa que tem sido travado nos últimos dias	0	comitês	problemas	"(b). ""p"	0	0	0	0
organizações	comitês	as organizações terroristas se valiam das facilidades de transferência de dinheiro para financiar grupos em vários lugares do mundo	para graça, a implantação dos comitês estaduais é um clamor social das organizações, que visa travar o ódio e processo de intolerância religiosa que tem sido travado nos últimos dias	0	"""organizaç"	organizaçõ	"(a). ""as"	1	1	1	1
juramento	visualizar	de acordo com as investigações, alguns dos envolvidos chegaram a noticiar a realização do batismo ao estado islâmico, conhecido como bayat – juramento de fidelidade exigido pela organização terrorista para o acolhimento de novos membros	foi quando conseguimos visualizar dois indivíduos, com as características descritas pelos denunciantes e realizamos a abordagem	1	juramento	visualizar	"(a). ""de"	1	1	1	1
violação	galeria	o cnj (conselho nacional de justiça) abriu investigação para aferir eventual violação de deveres funcionais pelo desembargador ivan sartori, do tribunal de justiça de são paulo	na sala de inverno, espaço que teve como inspiração a cidade de curitiba (pr), as obras de arte são da galeria zilda fraletti	1	"""violação"	galeria	"(a). ""o"	1	1	1	1
superfície	destino	a empresa fez uma extensa apresentação sobre o processo avançado de polimento que fez na superfície do dispositivo para garantir o acabamento elegante	passar um dia no monte arafat é uma das etapas mais importantes da peregrinação anual –  conhecida como hajj – de cinco dias que tem como destino a cidade de meca, na qual todos os muçulmanos fisicamente aptos precisam realizar pelo menos uma vez	0	destino.	destino.	"(b). ""pass"	0	1	0	0
impunidade	destino	ainda na tribuna da câmara, lamachia afirmou que a oab tem sido chamada como nunca a participar do debate nacional e afirmou o compromisso da instituição com o combate à corrupção e à impunidade	passar um dia no monte arafat é uma das etapas mais importantes da peregrinação anual –  conhecida como hajj – de cinco dias que tem como destino a cidade de meca, na qual todos os muçulmanos fisicamente aptos precisam realizar pelo menos uma vez	1	impunidade.	destino	"(a). ""ain"	1	1	1	1
mundo	destino	antes do amanhecer deste domingo, cerca de 2 milhões de peregrinos muçulmanos de todo lugar do mundo começaram a subir o monte arafat nos arredores de meca, onde o profeta maomé fez seu último sermão, cerca de 1	passar um dia no monte arafat é uma das etapas mais importantes da peregrinação anual –  conhecida como hajj – de cinco dias que tem como destino a cidade de meca, na qual todos os muçulmanos fisicamente aptos precisam realizar pelo menos uma vez	0	destino.	mundo.	"(b). ""pass"	0	0	0	0
segurança	galeria	5º, liv), corresponde, portanto, à essência da soberania do plenário, ou seja, do poder do colegiado pleno de modificar a escolha lavrada pelos responsáveis por provocar a competência disciplinar da câmara, alegou wellington roberto ao ingressar com o mandado de segurança	na sala de inverno, espaço que teve como inspiração a cidade de curitiba (pr), as obras de arte são da galeria zilda fraletti	1	segurança.	galeria.	"(a). """	1	1	1	1
deficiências	comitês	contratar profissionais especializados nas clinicas de maior demanda montagem de serviço de atendimento domiciliar para pessoas idosas, portadoras de deficiências e necessidades especiais criar samu	para graça, a implantação dos comitês estaduais é um clamor social das organizações, que visa travar o ódio e processo de intolerância religiosa que tem sido travado nos últimos dias	0	deficiênci	comitês	"(b). ""p"	1	1	0	1
famílias	responsabilidade	a adesão de tunicão fortalece o tom de maturidade e seriedade administrativa defendidos por cesar e marcos, além de somar com as centenas de famílias e lideranças populares que estão, a cada dia, aderindo à campanha pela libertação de milagres	os reparos vão despertar nos estudantes a responsabilidade pela preservação da escola	0	responsabilidade.	famílias	"(a). ""a"	0	0	1	0
terrorismo	mecanismo	também pediu aos americanos que abracem a diversidade dos estados unidos e não permitam que o terrorismo divida o país	a principal descoberta foi o chamado mecanismo de antikythera, um dispositivo do segundo século antes de cristo, que é às vezes chamado de o computador mais antigo do mundo	0	terrorismo	mecanismo.	"(b). ""a"	1	1	0	1
implementação	comitês	o ministério da educação (mec) publicou na edição desta terça-feira, 11 de outubro, do diário oficial da união (dou) a portaria que institui o programa de fomento e implementação do tempo integral no ensino médio das escolas públicas	para graça, a implantação dos comitês estaduais é um clamor social das organizações, que visa travar o ódio e processo de intolerância religiosa que tem sido travado nos últimos dias	1	implementação	comitês	"(a). ""o"	1	1	1	1
mandato	galeria	a expectativa é com relação à presença de parlamentares suficientes para ter quórum e os votos necessários para cassar o mandato de cunha, que não terá direito a voto	na sala de inverno, espaço que teve como inspiração a cidade de curitiba (pr), as obras de arte são da galeria zilda fraletti	1	mandato.	galeria.	"(a). ""a"	1	1	1	1
emitir	ofensa	o candidato ou partido ainda precisa emitir um recibo diretamente do sistema de prestação de contas eleitorais, do tse, para cada contribuição	o processo foi analisado na 2ª instância pela desembargadora khatia maria bomtempo de albuquerque, que concluiu que ficou caracterizada a situação de violação ao direito fundamental de ir e vir, ou seja, cárcere privado, e, consequentemente, ofensa ao patrimônio moral do trabalhador, que deverá receber compensação pecuniária	0	emitir.	ofensa.	"(b). ""o"	1	1	0	1
instrumentos	tributação	a lei, cujo projeto será discutido na audiência, pretende regulamentar instrumentos para que o proprietário do solo urbano não edificado, subutilizado ou não utilizado promova o seu adequado aproveitamento	a excessiva tributação sobre heranças encerra, também, controvérsias de natureza conceitual	0	tributação	tributação	"(a). ""a"	0	1	1	1
identificadores	galeria	a adulteração de sinais identificadores de veículos e a falsificação de documentos são dois ramos de alta rentabilidade às quadrilhas	na sala de inverno, espaço que teve como inspiração a cidade de curitiba (pr), as obras de arte são da galeria zilda fraletti	1	"""identificadores"	galeria	"(a). ""a"	1	1	1	1
reconsideração	autoridades	indefiro o pedido de reconsideração formulado pelo advogado do autuado, que requereu a concessão da liberdade com a aplicação de medidas cautelares diversas da prisão	a ideia é fazer os jovens questionarem, entenderem, encontrarem soluções e apresentá-las a autoridades no final do ano	1	"""reconsidera"	autoridades.	"(a). ""ind"	1	1	1	1
condolências	visualizar	o presidente norte-americano barack obama terá a oportunidade de oferecer suas condolências pessoais para duterte, em uma reunião entre os dois líderes paralela ao evento que reúne as nações do sudeste asiático no laos, na próxima semana, disse price	foi quando conseguimos visualizar dois indivíduos, com as características descritas pelos denunciantes e realizamos a abordagem	1	"""condolên"	visualizar	"(a). ""o"	1	1	1	1
extremismo	autoridades	demais temas que preocupam pouco os brasileiros são declínio moral (7%), alta do extremismo (3%), terrorismo (2%), imigração (1%), ameaças contra o meio ambiente (4%) e mudança climática (2%)	a ideia é fazer os jovens questionarem, entenderem, encontrarem soluções e apresentá-las a autoridades no final do ano	1	extremismo.	autoridades.	"(a). ""dem"	1	1	1	1
conformidade	galeria	a cpa é o órgão responsável pela coordenação, condução e articulação do processo interno de autoavaliação institucional do ifmg, em conformidade com a lei n° 10	na sala de inverno, espaço que teve como inspiração a cidade de curitiba (pr), as obras de arte são da galeria zilda fraletti	1	"""conformidade"	galeria.	"(a). ""a"	1	1	1	1
discursos	comitês	sobre o tom de combate à corrupção, presente nos discursos da posse, o ministro afirmou que o país atravessa um momento emblemático	para graça, a implantação dos comitês estaduais é um clamor social das organizações, que visa travar o ódio e processo de intolerância religiosa que tem sido travado nos últimos dias	0	comitês.	comitês	"(a). ""so"	0	1	1	1
famílias	comitês	a adesão de tunicão fortalece o tom de maturidade e seriedade administrativa defendidos por cesar e marcos, além de somar com as centenas de famílias e lideranças populares que estão, a cada dia, aderindo à campanha pela libertação de milagres	para graça, a implantação dos comitês estaduais é um clamor social das organizações, que visa travar o ódio e processo de intolerância religiosa que tem sido travado nos últimos dias	0	"""comitês"	famílias	"(b). ""p"	0	0	0	0
acordos	observadores	os ex-funcionários envolvidos firmaram acordos de delação premiada com o grupo especial de delitos econômicos (gedec), do mpe	de acordo com a nasa, os observadores que tiverem sorte poderão ver a passagem dos meteoros em seus momentos de chuva mais intensa	0	"acordos
"	observadores	"(a). ""os"	1	1	1	1
recusar	mecanismo	ao ser eleito presidente da síria, em junho de 2000, bashar al-assad promoveu uma tímida abertura política e econômica, a chamada primavera de damasco, que foi comprometida ao se recusar a integrar a coalizão militar liderada pelos eua para invadir e destruir o iraque em 2003	a principal descoberta foi o chamado mecanismo de antikythera, um dispositivo do segundo século antes de cristo, que é às vezes chamado de o computador mais antigo do mundo	1	recusar	mecanismo	"(b). ""a"	1	1	0	1
