Id	Genre	Sentence	ComplexWord	Gold_Complexity	prompt1_pred	prompt2_pred	prompt3_pred	prompt4_pred	avg_pred1_2	avg_pred3_4
24	bible	Eis que todas as mulheres que ficaram na casa do rei de Judá serão levadas aos príncipes do rei de Babilônia, e elas mesmas dirão: Teus pacificadores te incitaram e prevaleceram contra ti, mas agora que se atolaram os teus pés na lama, voltaram atrás.	lama	0.06	0.5	0.5	0.5	0.5	0.5	0.5
25	bible	Também por mim se decreta que todo o homem que mudar este decreto, se arrancará um madeiro da sua casa, e, levantado, o pendurarão nele, e da sua casa se fará por isso um monturo.	monturo	0.47	0.5	0.5	0.5	0.5	0.5	0.5
26	bible	E luz de candeia não mais luzirá em ti, e voz de esposo e de esposa não mais em ti se ouvirá; porque os teus mercadores eram os grandes da terra; porque todas as nações foram enganadas pelas tuas feitiçarias.	mercadores	0.11	0.5	0.5	0.5	0.5	0.5	0.5
27	bible	Mas o pobre não tinha coisa nenhuma, senão uma pequena cordeira que comprara e criara; e ela tinha crescido com ele e com seus filhos; do seu bocado comia, e do seu copo bebia, e dormia em seu regaço, e a tinha como filha.	comprara	0.15	0.5	0.5	0.5	0.5	0.5	0.5
28	news	o processo foi analisado na 2ª instância pela desembargadora khatia maria bomtempo de albuquerque, que concluiu que ficou caracterizada a situação de violação ao direito fundamental de ir e vir, ou seja, cárcere privado, e, consequentemente, ofensa ao patrimônio moral do trabalhador, que deverá receber compensação pecuniária	ofensa	0.17	0.5	0.5	0.5	0.5	0.5	0.5
29	bible	Os teus profetas, ó Israel, são como raposas nos desertos.	desertos	0.11	0.5	0.5	0.5	0.5	0.5	0.5
30	bible	Benignidade e verdade guardam ao rei, e com benignidade sustém ele o seu trono.	verdade	0.08	0.5	0.5	0.5	0.5	0.5	0.5
31	bible	E chamou Moisés a todo o Israel, e disse-lhes: Tendes visto tudo quanto o SENHOR fez perante vossos olhos, na terra do Egito, a Faraó, e a todos os seus servos, e a toda a sua terra;	servos	0.15	0.5	0.5	0.5	0.5	0.5	0.5
32	bible	E que todo aquele que em três dias não viesse, segundo o conselho dos príncipes e dos anciãos, toda a sua fazenda se poria em interdito, e ele seria separado da congregação dos do cativeiro.	cativeiro	0.23	0.5	0.5	0.5	0.5	0.5	0.5
33	bible	Vemos, porém, coroado de glória e de honra aquele Jesus que fora feito um pouco menor do que os anjos, por causa da paixão da morte, para que, pela graça de Deus, provasse a morte por todos.	anjos	0.05	0.5	0.5	0.5	0.5	0.5	0.5
34	biomed	Conclusão: O conhecimento das principais características imagiológicas das diferentes entidades patológicas do timo é fulcral na orientação terapêutica, permitindo por vezes diferenciar a hiperplasia de “verdadeiras” neoplasias, e possibilitar o estadiamento das lesões.	timo	0.39	0.5	0.5	0.5	0.5	0.5	0.5
35	bible	Crónicas capítulo 13	Uriel	0.2	0.5	0.5	0.5	0.5	0.5	0.5
36	biomed	Mostraram-se significantes as alterações do volume renal, dilatações pielocalicinais, litíase renal, colelitíase, mudanças nas velocidades de fluxo da veia porta e alterações no padrão da onda da veia hepática direita.	velocidade	0.14	0.5	0.5	0.5	0.5	0.5	0.5
37	biomed	O objetivo deste estudo foi avaliar e analisar, por ressonância magnética, a presença e o tipo de alça vascular da artéria cerebelar anteroinferior e sua associação com sintomas otológicos.	cerebelar	0.47	0.5	0.5	0.5	0.5	0.5	0.5
38	biomed	relacionamento determinístico de dados de óbitos por causas externas de intenção indeterminada e naturais por causa indeterminada do Sistema de Informações sobre Mortalidade (SIM), Instituto Médico Legal, Polícia Civil, Serviço de Atendimento Móvel de Urgência (SAMU) e imprensa.	imprensa	0.14	0.5	0.5	0.5	0.5	0.5	0.5
39	bible	Porque o Filho de Deus, Jesus Cristo, que entre vós foi pregado por nós, isto é, por mim, Silvano e Timóteo, não foi sim e não; mas nele houve sim.	Cristo	0.04	0.5	0.5	0.5	0.5	0.5	0.5
40	bible	Quão melhor é adquirir a sabedoria do que o ouro! e quão mais excelente é adquirir a prudência do que a prata!	sabedoria	0.16	0.5	0.5	0.5	0.5	0.5	0.5
41	bible	E o espia estava com ela na câmara interior. Então ela lhe disse: Os filisteus vêm sobre ti, Sansão. Então quebrou as vergas de vimes, como se quebra o fio da estopa ao cheiro do fogo; assim não se soube em que consistia a sua força.	Sansão	0.2	0.5	0.5	0.5	0.5	0.5	0.5
42	bible	A soberba do teu coração te enganou, como o que habita nas fendas das rochas, na sua alta morada, que diz no seu coração: Quem me derrubará em terra?	morada	0.13	0.5	0.5	0.5	0.5	0.5	0.5
43	bible	Sucedeu, pois, que, acabando Salomão de fazer ao SENHOR esta oração e esta súplica, estando de joelhos e com as mãos estendidas para os céus, se levantou de diante do altar do SENHOR.	Salomão	0.04	0.5	0.5	0.5	0.5	0.5	0.5
44	news	os reparos vão despertar nos estudantes a responsabilidade pela preservação da escola	responsabilidade	0.09	0.5	0.5	0.22	0.5	0.5	0.36
45	bible	E disse Davi a Jônatas: Quem me fará saber, se por acaso teu pai te responder asperamente?	responder	0.15	0.5	0.5	0.5	0.0	0.5	0.25
46	bible	O vento apascentará a todos os teus pastores, e os teus namorados irão para o cativeiro; certamente então te confundirás, e te envergonharás por causa de toda a tua maldade.	pastores	0.12	0.5	0.5	0.5	0.5	0.5	0.5
47	bible	Havendo, pois, fome sobre toda a terra, abriu José tudo em que havia mantimento, e vendeu aos egípcios; porque a fome prevaleceu na terra do Egito.	mantimento	0.24	0.5	0.5	0.5	0.5	0.5	0.5
48	news	há necessidade de um movimento político, e isso já estamos fazendo, junto à associação mineira dos municípios, para que o governo coloque uma cota maior de recursos para podermos gerenciar, porque as pessoas vivem nos municípios, não é no estado e nem na união	movimento	0.11	0.5	0.5	0.22	0.5	0.5	0.36
49	bible	Então consultou Saul a Deus, dizendo: Descerei atrás dos filisteus? Entrega-los-ás na mão de Israel? Porém aquele dia não lhe respondeu.	filisteus	0.49	0.5	0.5	0.5	0.5	0.5	0.5
50	bible	A sua oferta de alimentos e as suas libações para o novilho, para o carneiro e para os cordeiros, conforme o seu número, segundo o estatuto.	cordeiros	0.18	0.5	0.5	0.5	0.5	0.5	0.5
51	news	os médicos são membros de comissão designada pelo crm, em vista de fiscalização ocorrida em 19 de julho desse ano para acompanhamento das condições técnicas do hospital	membros	0.1	0.5	0.0	0.0	0.5	0.25	0.25
52	news	na avaliação do presidente da contraf, roberto von der osten, a proposta não atende às demandas dos trabalhadores	von	0.35	0.5	0.25	0.11	0.5	0.38	0.31
53	bible	Então disseram: Restituir-lhes-emos, e nada procuraremos deles; faremos assim como dizes. Então chamei os sacerdotes, e os fiz jurar que fariam conforme a esta palavra.	palavra	0.1	0.5	0.5	0.5	0.5	0.5	0.5
54	news	por isso, a empresa resolveu investir na máquina cata moeda prosegur, instala na unidade do alto da xv do grupo	empresa	0.11	0.5	0.5	0.5	0.5	0.5	0.5
55	bible	E havia um muro fora da casa, em seu redor, e na mão do homem uma cana de medir, de seis côvados, cada um dos quais tinha um côvado e um palmo; e ele mediu a largura do edifício, uma cana, e a altura, uma cana.	largura	0.14	0.5	0.5	0.5	0.5	0.5	0.5
56	bible	Porque eu estenderei a minha mão, e ferirei ao Egito com todas as minhas maravilhas que farei no meio dele; depois vos deixará ir.	ferirei	0.35	0.5	0.5	0.5	0.5	0.5	0.5
57	bible	Jacó, porém, partiu para Sucote e edificou para si uma casa; e fez cabanas para o seu gado; por isso chamou aquele lugar Sucote.	gado	0.13	0.5	0.5	0.5	0.5	0.5	0.5
58	news	o dinheiro para recapitalizar o banco virá de um fundo de 20 mil milhões criado recentemente para apoiar o sistema bancário daquela que é a terceira economia da zona euro	euro	0.06	0.5	0.0	0.0	0.5	0.25	0.25
59	biomed	Os intervalos de confiança do Risco Relativo estimado por regressão de Poisson foram sempre mais largos que os determinados por análise de Mantel-Hanszel.	intervalo	0.25	0.5	0.5	0.5	0.5	0.5	0.5
60	bible	Não comereis dele cru, nem cozido em água, senão assado no fogo, a sua cabeça com os seus pés e com a sua fressura.	fressura	0.62	0.5	0.5	0.5	0.5	0.5	0.5
61	news	um dia antes, a administração federal de aviação do país havia aconselhado passageiros a não ligar ou carregar o dispositivo em aeronaves	aviação	0.2	0.5	0.25	0.11	0.5	0.38	0.31
62	news	efetivar a formação profissional, para atuar na formação técnica, na capacitação gerencial e desenvolvimento pessoal	desenvolvimento	0.19	0.5	0.25	0.11	0.5	0.38	0.31
63	news	não há visão estratégica, ninguém fala de crescimento, desenvolvimento ou progresso	progresso	0.11	0.5	0.25	0.11	0.5	0.38	0.31
64	bible	E correu a Eli, e disse: Eis-me aqui, porque tu me chamaste. Mas ele disse: Não te chamei eu, torna a deitar-te. E foi e se deitou.	Eli	0.15	0.5	0.5	0.5	0.5	0.5	0.5
65	biomed	Neste caso clínico, descrevemos a associação incomum entre lentes de contacto e Elizabethkingia meningoseptica.	lente	0.16	0.5	0.5	0.5	0.5	0.5	0.5
66	biomed	Os participantes foram submetidos à avaliação clínica com neurologista seguida de avaliação neuropsicológica com os instrumentos MEEM, Teste do Desenho do Relógio, Teste de Fluência Verbal Semântica e Fonêmica, Teste de Memória de Figuras (FMT), Teste Stroop de Cores e Palavras, Teste das Trilhas (TMT), Span de Dígitos WAIS III, Teste de Aprendizagem Auditivo-Verbal de Rey (RAVLT), Teste de Organização Visual de Hooper e Inventário de Depressão de Beck (BDI).	Figuras	0.19	0.5	0.5	0.5	0.5	0.5	0.5
67	news	cosan (csan3)a cosan é uma das maiores corporações do brasil, com negócios em setores estratégicos para o desenvolvimento brasileiro	setores	0.16	0.5	0.5	0.22	0.5	0.5	0.36
68	bible	Então o rei mandou chamar a Aimeleque, sacerdote, filho de Aitube, e a toda a casa de seu pai, os sacerdotes que estavam em Nobe; e todos eles vieram ao rei.	Nob	0.5	0.5	0.5	0.5	0.5	0.5	0.5
69	bible	E os príncipes dos sacerdotes e os fariseus, ouvindo estas palavras, entenderam que falava deles;	entenderam	0.15	0.5	0.5	0.5	0.5	0.5	0.5
70	bible	Porque estas nações, que hás de possuir, ouvem os prognosticadores e os adivinhadores; porém a ti o SENHOR teu Deus não permitiu tal coisa.	nações	0.1	0.5	0.5	0.5	0.5	0.5	0.5
71	biomed	Todavia, entende o autor que o sucesso das medidas a introduzir nos programas educação médica em prol de um novo modelo de profissionalismo continua a depender, sobretudo, dos atributos humanísticos e cognitivos dos alunos a serem escolhidos, e da qualidade pedagógica, académica e profissional dos seus docentes.	programas	0.09	0.5	0.5	0.5	0.5	0.5	0.5
72	news	aliás, não sou eu que peço para me tratarem por epíteto nenhum, ou tributo ou cognome, ou coisa do género, porque isso, e digo com a máxima sinceridade e não sei como dizer isto de uma forma mais pungente, isso vem-me criando anticorpos até no seio dos meus próprios colegas	sinceridade	0.16	0.5	0.0	0.0	0.5	0.25	0.25
73	bible	Na tua bolsa não terás pesos diversos, um grande e um pequeno.	pesos	0.15	0.5	0.5	0.5	0.5	0.5	0.5
74	biomed	O checklist foi aplicado a 16 enfermeiros de oito unidades cirúrgicas, e submetido à validação por meio da técnica Delphi on-line com oito especialistas.	on-line	0.11	0.5	0.5	0.5	0.5	0.5	0.5
75	bible	Porque as estrelas dos céus e as suas constelações não darão a sua luz; o sol se escurecerá ao nascer, e a lua não resplandecerá com a sua luz.	estrelas	0.09	0.5	0.5	0.5	0.5	0.5	0.5
76	biomed	A obesidade assume atualmente uma importância óbvia, expressa pelos esforços de investigação, de saúde pública e clínicos, a nível mundial.	esforços	0.07	0.5	0.5	0.5	0.5	0.5	0.5
77	news	a usurpação social em fhc era a que a legislação criada pela oligarquia dominante permitia, era a usurpação legal	oligarquia	0.46	0.5	0.5	0.22	0.5	0.5	0.36
78	news	na ocasião os aliados da ditadura ou do regime discricionário como queiram sabendo do quanto às diretas desgastariam a imagem do poder iniciaram uma incrível e maciça infidelidade partidária migrando parte para o pmdb e criando a frente liberal apresentando a nação o pfl	ocasião	0.2	0.5	0.0	0.0	0.5	0.25	0.25
79	news	de marketing), pois esta reportagem deu uma boa enfatizada nas fotos dos destroços e detalhando as ruínas do que sobrou da fábrica, o que dependendo de quem ler, pode interpretar que foi descaso por parte da estrela e isso pode gerar uma má impressão, mas sabemos que não é estamos entendendo o objetivo desta matéria	ruínas	0.25	0.5	0.5	0.22	0.5	0.5	0.36
80	news	é algo que foi com o tempo, sendo autorizados de forma até informal, mas existem iniciativas de outros municípios, até a situação de quiosques em praia, é isso	iniciativas	0.23	0.5	0.5	0.22	0.5	0.5	0.36
81	news	– o torcedor é sempre importante	torcedor	0.13	0.5	0.5	0.5	0.5	0.5	0.5
82	bible	Ascalom o verá e temerá; também Gaza, e terá grande dor; igualmente Ecrom; porque a sua esperança será confundida; e o rei de Gaza perecerá, e Ascalom não será habitada.	temerá	0.21	0.5	0.5	0.5	0.5	0.5	0.5
83	news	segundo a administração pública, todos os esforços foram feitos anteriormente para que a água chegasse até os munícipes	esforços	0.15	0.5	0.5	0.5	0.5	0.5	0.5
84	news	com céu nublado no início do dia em ponta porã, a mínima será de 12°c e máxima não passa dos 25°c	início	0.07	0.5	0.5	0.5	0.5	0.5	0.5
85	bible	Mas, como é santo aquele que vos chamou, sede vós também santos em toda a vossa maneira de viver;	maneira	0.1	0.5	0.5	0.5	0.5	0.5	0.5
86	biomed	# DS Ibanez; FL Rodrigues; RS Salviani; FA Roberto; JR Pengo Junior; MA Aita	Peng	0.62	0.5	0.5	0.5	0.5	0.5	0.5
87	bible	Portanto, pode também salvar perfeitamente os que por ele se chegam a Deus, vivendo sempre para interceder por eles.	interceder	0.24	0.5	0.5	0.5	0.5	0.5	0.5
88	bible	Ouvindo, pois, todos os moabitas que os reis tinham subido para pelejarem contra eles, convocaram a todos os que estavam em idade de cingir cinto e daí para cima, e puseram-se às fronteiras.	fronteira	0.19	0.5	0.5	0.5	0.5	0.5	0.5
89	news	capacitar e treinar todos os profissionais de saúde	todos	0.07	0.5	0.0	0.0	0.5	0.25	0.25
90	biomed	Nós realizamos ERM com voxel único (2 cm × 2 cm × 2 cm) e tempo de eco curto (TE = 35 ms) no tálamo de 21 pacientes com EMJ e 14 controles saudáveis pareados por idade.	tálamo	0.45	0.5	0.5	0.5	0.5	0.5	0.5
91	bible	Então disse o rei aos seus servos: Não sabeis que hoje caiu em Israel um príncipe e um grande?	servos	0.09	0.5	0.5	0.5	0.5	0.5	0.5
92	bible	E ele passou por todas as tribos de Israel até Abel, e Bete-Maaca e a todos os beritas; e ajuntaram-se, e também o seguiram.	Abel	0.03	0.5	0.5	0.5	0.5	0.5	0.5
93	bible	Porque havia muitos na congregação que não se tinham santificado; pelo que os levitas tinham o encargo de matarem os cordeiros da páscoa por todo aquele que não estava limpo, para o santificarem ao SENHOR.	congregação	0.28	0.5	0.5	0.5	0.5	0.5	0.5
94	biomed	# A Chade; M Roca; T Torralva; E Gleichgerrcht; N Fabbro; GG Arévalo; O Gershanik; F Manes	hg	0.56	0.5	0.5	0.5	0.5	0.5	0.5
95	biomed	Constatou-se que 41% dos inquiridos saíam à noite, e 70% ingeriam bebidas alcoólicas; 66% começaram a sair à noite entre os 13 e os 15 anos de idade e 9% já tinham experimentado drogas pelo menos uma vez.	começar	0.12	0.5	0.5	0.5	0.5	0.5	0.5
96	news	o consultor da roland berger cita, por exemplo, o nível de automação – que é um elemento de competitividade – na indústria local	nível	0.09	0.5	0.5	0.5	0.5	0.5	0.5
97	news	júlio silva: sem dúvida alguma é preciso estancar a corrupção em vilhena e estabelecer um novo parâmetro na aplicação dos recursos públicos nas mais diversas áreas sob responsabilidade da administração municipal	parâmetro	0.25	0.5	0.5	0.22	0.5	0.5	0.36
98	bible	O SENHOR te ferirá com úlceras malignas nos joelhos e nas pernas, de que não possas sarar, desde a planta do teu pé até ao alto da cabeça.	pernas	0.07	0.5	0.5	0.5	0.5	0.5	0.5
99	bible	E saiu o rei de Israel, e feriu os cavalos e os carros; e feriu os sírios com grande estrago.	sírios	0.1	0.5	0.5	0.5	0.5	0.5	0.5
100	news	para ele, essas ações podem até não agradar num primeiro momento, porém buscam viabilizar a conduta e o bem-estar do povo brasileiro e negou, ainda, que vai acabar com os direitos trabalhistas	direitos	0.15	0.5	0.5	0.22	0.5	0.5	0.36
101	news	de modo superficial, a primeira impressão desse paradoxo é uma análise aprofundada a respeito da globalização de informações generalizadas emitidas do fator global para o local, com o propósito de pregar o poder da necessidade capitalista como o aspecto principal de inclusão social entre os indivíduos	globalização	0.25	0.5	0.0	0.0	0.5	0.25	0.25
102	bible	E depois chegaram também as outras virgens, dizendo: Senhor, Senhor, abre-nos.	virgens	0.16	0.5	0.5	0.5	0.5	0.5	0.5
103	bible	E habitarão nela seguros, e edificarão casas, e plantarão vinhas, e habitarão seguros, quando eu executar juízos contra todos os que estão ao seu redor e que os desprezam; e saberão que eu sou o SENHOR seu Deus.	vinhas	0.24	0.5	0.5	0.5	0.5	0.5	0.5
104	bible	E, saindo para o vestíbulo, outra criada o viu, e disse aos que ali estavam: Este também estava com Jesus, o Nazareno.	vestíbulo	0.36	0.5	0.5	0.5	0.5	0.5	0.5
105	biomed	identificar aglomerados espaciais e espaço-temporais de risco para tuberculose e caracterizá-los segundo a vulnerabilidade social.	aglomerados	0.25	0.5	0.5	0.5	0.5	0.5	0.5
106	bible	Não estejas entre os que se comprometem, e entre os que ficam por fiadores de dívidas,	dívidas	0.1	0.5	0.5	0.5	0.5	0.5	0.5
107	bible	Ou por inimizade o ferir com a sua mão, e morrer, certamente morrerá aquele que o ferir; homicida é; o vingador do sangue, encontrando o homicida, o matará.	vingador	0.26	0.5	0.5	0.5	0.5	0.5	0.5
108	bible	Ora, o Senhor é Espírito; e onde está o Espírito do Senhor, aí há liberdade.	liberdade	0.16	0.5	0.5	0.5	0.5	0.5	0.5
109	biomed	Apesar de contarem com baixa quantidade de apoiadores, a maioria dos participantes estava satisfeita com o apoio percebido.	contar	0.1	0.5	0.5	0.5	0.5	0.5	0.5
110	news	o acordo será assinado na segunda-feira em cartagena, em um ato que contará com a presença do secretário-geral da onu, ban ki-moon, e depois será submetido a um referendo no dia 2 de outubro	referendo	0.29	0.5	0.5	0.5	0.5	0.5	0.5
111	bible	Também de Manassés alguns passaram para Davi, quando veio com os filisteus para a batalha contra Saul; todavia Davi não os ajudou, porque os príncipes dos filisteus, tendo feito conselho, o despediram, dizendo: À custa de nossas cabeças passará a Saul, seu senhor.	batalha	0.11	0.5	0.5	0.5	0.5	0.5	0.5
112	news	especialistas afirmam que o problema está no fato de ser um alimento processado, independentemente se a salsicha for misturada com ingredientes saudáveis, como a salada e o macarrão, por exemplo	exemplo	0.06	0.5	0.25	0.11	0.5	0.38	0.31
113	biomed	O CET é caracterizado por hamartomas generalizados e pela presença de neoplasias benignas, ou raramente malignas, acometendo vários órgãos, especialmente cérebro, pele, retina, rins, coração e pulmões.	cérebro	0.12	0.5	0.5	0.5	0.5	0.5	0.5
114	biomed	Nenhum dos sites exibiu o selo da Health on the Net Foundation.	site	0.14	0.5	0.5	0.5	0.5	0.5	0.5
115	biomed	A intervenção selectiva no sistema imune desta nova classe de agentes biotecnológicos, torna-os uma abordagem terapêutica interessante no controlo de doenças auto-imunes e imunomediadas, como na psoríase.  Num futuro próximo, estas novas terapêuticas poderão constituir uma alternativa válida aos agentes biológicos actualmente disponíveis.	agentes	0.16	0.5	0.5	0.5	0.5	0.5	0.5
116	biomed	Todas as culturas microbiológicas apresentaram crescimento de microrganismos, embora nenhum microrganismo tenha sido recuperado após a autoclavação.	organismos	0.17	0.5	0.5	0.5	0.5	0.5	0.5
117	bible	E a sua expiação trará ao SENHOR: um carneiro sem defeito do rebanho, conforme à tua estimação, para expiação da culpa trará ao sacerdote;	carneiro	0.12	0.5	0.5	0.5	0.5	0.5	0.5
118	news	exibido na madrugada desta segunda-feira, o programa apresentado por cabrini mostrou a rotina do parlamentar nas últimas duas semanas – incluindo o momento em que cunha dá um leve sorriso ao acompanhar pela televisão, em seu apartamento funcional em brasília, o desfecho do processo de impeachment da ex-presidente dilma rousseff, em 31 de agosto	semanas	0.1	0.5	0.0	0.0	0.5	0.25	0.25
119	bible	Portanto, tomai toda a armadura de Deus, para que possais resistir no dia mau e, havendo feito tudo, ficar firmes.	armadura	0.2	0.5	0.5	0.5	0.5	0.5	0.5
120	bible	Então disse o rei: Quem está no pátio? E Hamã tinha entrado no pátio exterior da casa do rei, para dizer ao rei que enforcassem a Mardoqueu na forca que lhe tinha preparado.	Mardoqueu	0.45	0.5	0.5	0.5	0.5	0.5	0.5
121	bible	E o SENHOR entregará também a Israel contigo na mão dos filisteus, e amanhã tu e teus filhos estareis comigo; e o arraial de Israel o SENHOR entregará na mão dos filisteus.	filhos	0.05	0.5	0.5	0.5	0.5	0.5	0.5
122	bible	E ao arvadeu, ao zemareu, e ao hamateu, e depois se espalharam as famílias dos cananeus.	cananeus	0.46	0.5	0.5	0.5	0.5	0.5	0.5
123	bible	Pedindo sempre em minhas orações que nalgum tempo, pela vontade de Deus, se me ofereça boa ocasião de ir ter convosco.	orações	0.08	0.5	0.5	0.5	0.5	0.5	0.5
124	biomed	A inflamação brônquica destes doentes pode ser monitorizada através da medição da fração exalada de óxido nítrico.	fração	0.25	0.5	0.5	0.5	0.5	0.5	0.5
125	biomed	Apesar da recuperação renal, os marcadores de lise muscular permaneceram elevados.	marcadores	0.21	0.5	0.5	0.5	0.5	0.5	0.5
126	news	além de participar de várias competições, o coro realiza apresentações em eventos comemorativos como formaturas e festas de final de ano em itajaí e região	festas	0.13	0.5	0.5	0.5	0.5	0.5	0.5
127	bible	Erasto ficou em Corinto, e deixei Trófimo doente em Mileto.	Corinto	0.25	0.5	0.5	0.5	0.5	0.5	0.5
128	bible	A ninguém imponhas precipitadamente as mãos, nem participes dos pecados alheios; conserva-te a ti mesmo puro.	pecados	0.15	0.5	0.5	0.5	0.5	0.5	0.5
129	bible	Nenhum servo pode servir dois senhores; porque, ou há de odiar um e amar o outro, ou se há de chegar a um e desprezar o outro. Não podeis servir a Deus e a Mamom.	mamom	0.36	0.5	0.5	0.5	0.5	0.5	0.5
130	biomed	Além disso, algumas respostas não são duradouras e ainda não é claro se os inibidores podem ser interrompidos em doentes em remissão prolongada.	inibidores	0.39	0.5	0.5	0.5	0.5	0.5	0.5
131	bible	Não te lembres dos pecados da minha mocidade, nem das minhas transgressões; mas segundo a tua misericórdia, lembra-te de mim, por tua bondade, SENHOR.	pecados	0.07	0.5	0.5	0.5	0.5	0.5	0.5
132	bible	Estes são os que passaram o Jordão no primeiro mês, quando ele transbordava por todas as suas ribanceiras, e fizeram fugir a todos os dos vales ao oriente e ao ocidente.	ocidente	0.11	0.5	0.5	0.5	0.5	0.5	0.5
133	news	bolsonaro, então, dirigiu-se à mesa e protestou, gritando e com o dedo em riste, contra a decisão	mesa	0.18	0.5	0.5	0.5	0.5	0.5	0.5
