Genre	Sentence	ComplexWord	Gold_Complexity	prompt1_pred	prompt2_pred	prompt3_pred	prompt4_pred	prompt5_pred	avg_pred
bible	then shall he offer with the bull a meal offering of three tenth parts of an ephah of fine flour mixed with half a hin of oil:	bull	0.12	0.8	1.0	0.0	0.0	1.0	0.56
bible	as it is taken off of the bull of the sacrifice of peace offerings.	bull	0.18	0.8	1.0	0.0	0.0	0.3	0.42
bible	When you have finished cleansing it, you shall offer a young bull without blemish, and a ram out of the flock without blemish.	bull	0.25	1.0	1.0	0.0	0.0	0.5	0.5
bible	They came to Elim, where there were twelve springs of water, and seventy palm trees: and they encamped there by the waters.	palm	0.08	0.0	0.0	0.4	0.0	0.0	0.08
bible	She lived under the palm tree of Deborah between Ramah and Bethel in the hill country of Ephraim: and the children of Israel came up to her for judgment.	palm	0.18	0.0	0.2	0.4	0.2	0.0	0.16
bible	He gathered to him the children of Ammon and Amalek; and he went and struck Israel, and they possessed the city of palm trees.	palm	0.23	0.0	0.5	0.6	0.8	0.0	0.38
bible	He entered into one of the boats, which was Simon's, and asked him to put out a little from the land.	boats	0.09	0.0	0.8	0.2	0.4	0.3	0.34
bible	They came, and filled both boats, so that they began to sink.	boats	0.13	0.6	0.5	0.6	0.2	0.4	0.46
bible	"I will also make it a possession for the porcupine, and pools of water.	pools	0.09999999999999998
3M93N4X8HKNK4LXYO577NJ5IOV9SJD	bible	He shall flee from the iron weapon.	weapon	0.09999999999999998
3DGDV62G7O9NLXJYP3XLTXEQZ0H2PL	bible	These are the families of the Levites according to their fathers' houses.	families	0.22058823529411764
368IUKXGA58B3Y2ZC59OJAV2F7EP6O	bible	whose arrows are sharp, and all their bows bent.	arrows	0.14285714285714285
3DFYDSXB2W00JYP2DA272KN69UQUJV	bible	who sharpen their tongue like a sword, and aim their arrows, deadly words,	arrows	0.2222222222222222
3T8DUCXY0N6WD9X4RTLK8UN1UB7T98	bible	who satisfies your desire with good things, so that your youth is renewed like the eagle's.	desire	0.10714285714285715
3MIVREZQVHY32PO3EMIETYQULYFKQA	bible	Yahweh will not allow the soul of the righteous to go hungry, but he thrusts away the desire of the wicked.	desire	0.15625
3PIOQ99R7YMW2OGNS8UZVR4NIEVUNZ	bible	Speak to the house of Israel, Thus says the Lord Yahweh: Behold, I will profane my sanctuary, the pride of your power, the desire of your eyes, and that which your soul pities; and your sons and your daughters whom you have left behind shall fall by the sword.	desire	0.18333333333333335
3YZ7A3YHR5TCXMIDZ33DM9MD6UF5S5	bible	But what I do, that I will do, that I may cut off occasion from them that desire an occasion, that in which they boast, they may be found even as we.	desire	0.19444444444444442
3DGDV62G7O9NLXJYP3XLTXEQZ2CP27	bible	Your name and your renown are the desire of our soul.	desire	0.23214285714285715
31SIZS5W59FPPT1Y46RBUAC8GO1QRX	bible	and when you turn to the right hand, and when you turn to the left, your ears will hear a voice behind you, saying, This is the way."	ears	0.16	0.6	0.8	0.0	0.7	0.6	0.54
bible	In the twentieth year of Jeroboam king of Israel began Asa to reign over Judah.	twentieth	0.12	0.0	1.0	0.0	0.1	0.0	0.22
bible	"and you pay special attention to him who wears the fine clothing, and say, ""Sit here in a good place""; and you tell the poor man, ""Stand there,"" or ""Sit by my footstool"";"	clothing	0.12	0.0	0.0	0.4	0.4	0.0	0.16
bible	let royal clothing be brought which the king uses to wear, and the horse that the king rides on, and on the head of which a crown royal is set.	clothing	0.15	0.0	0.0	0.8	0.0	0.0	0.16
bible	Though he heap up silver as the dust, and prepare clothing as the clay;	clothing	0.34	0.0	0.0	0.0	0.0	0.6	0.12
bible	They cast lots for my clothing.	clothing	0.35	0.6	0.0	0.0	0.0	0.0	0.12
bible	"for they harassed you with their wiles, with which they have deceived you in the matter of Peor, and in the matter of Cozbi, the daughter of the prince of Midian, their sister, who was slain on the day of the plague in the matter of Peor."""	prince	0.12	0.8	0.9	0.6	0.6	0.0	0.58
bible	Of the children of Joseph: of the tribe of the children of Manasseh a prince, Hanniel the son of Ephod.	prince	0.19	0.8	1.0	0.0	0.5	0.7	0.6
bible	I will no more speak much with you, for the prince of the world comes, and he has nothing in me.	prince	0.22	0.8	0.8	0.8	0.8	0.8	0.8
bible	"On the west side shall be the standard of the camp of Ephraim according to their divisions: and the prince of the children of Ephraim shall be Elishama the son of Ammihud.	prince	0.21666666666666667
37MQ8Z1JQEWHUBBZGQT46O7235K2YF	bible	Tomorrow about this time I will send you a man out of the land of Benjamin, and you shall anoint him to be prince over my people Israel; and he shall save my people out of the hand of the Philistines: for I have looked on my people, because their cry has come to me."""	prince	0.25	0.6	0.8	0.4	0.8	0.5	0.62
bible	Remember your leaders, men who spoke to you the word of God, and considering the results of their conduct, imitate their faith.	leaders	0.12	1.0	0.8	0.0	0.0	1.0	0.56
bible	Israel dwells in safety; the fountain of Jacob alone, In a land of grain and new wine.	wine	0.12	0.0	0.0	0.2	0.2	0.0	0.08
bible	until I come and take you away to a land like your own land, a land of grain and new wine, a land of bread and vineyards.	wine	0.18	0.0	0.0	0.6	0.2	0.0	0.16
bible	"Don't damage the oil and the wine!"""	wine	0.19	0.8	0.2	0.2	0.0	0.0	0.24
bible	I desire therefore that the men in every place pray, lifting up holy hands without anger and doubting.	pray	0.12	0.0	0.0	0.4	0.0	0.0	0.08
bible	So shall they fear the name of Yahweh from the west, and his glory from the rising of the sun; for he will come as a rushing stream, which the breath of Yahweh drives.	west	0.12	0.0	0.9	0.6	0.1	0.0	0.32
bible	These are those who went over the Jordan in the first month, when it had overflowed all its banks; and they put to flight all them of the valleys, both toward the east, and toward the west.	west	0.21	0.6	0.5	0.4	0.0	0.8	0.46
bible	Discipline your son, for there is hope; don't be a willing party to his death.	death	0.14	1.0	1.0	1.0	1.0	1.0	1.0
bible	You shall stone him to death with stones, because he has sought to draw you away from Yahweh your God, who brought you out of the land of Egypt, out of the house of bondage.	death	0.24	1.0	1.0	1.0	1.0	1.0	1.0
bible	Those on the rock are they who, when they hear, receive the word with joy; but these have no root, who believe for a while, then fall away in time of temptation.	joy	0.14	0.0	1.0	0.6	0.0	1.0	0.52
bible	Weeping may stay for the night, but joy comes in the morning.	joy	0.16	0.0	0.8	0.2	0.0	1.0	0.4
bible	And I wrote this very thing to you, so that, when I came, I wouldn't have sorrow from them of whom I ought to rejoice; having confidence in you all, that my joy would be shared by all of you.	joy	0.21	0.0	0.0	0.6	0.2	0.9	0.34
bible	Perfume and incense bring joy to the heart; so does earnest counsel from a man's friend.	joy	0.22	0.6	1.0	0.0	0.0	1.0	0.52
bible	When they saw the star, they rejoiced with exceedingly great joy.	joy	0.23	0.6	1.0	0.6	0.2	1.0	0.68
bible	But at last two false witnesses came forward,	witnesses	0.15	0.8	0.0	0.4	0.1	1.0	0.46
bible	Even though many false witnesses came forward, they found none.	witnesses	0.29	0.8	0.8	0.6	0.7	0.0	0.58
bible	Yahweh will not pardon him, but then the anger of Yahweh and his jealousy will smoke against that man, and all the curse that is written in this book shall lie on him, and Yahweh will blot out his name from under the sky.	jealousy	0.15	0.8	1.0	0.8	0.8	0.0	0.68
bible	They moved him to jealousy with strange gods.	jealousy	0.2	0.8	1.0	0.6	1.0	0.8	0.84
bible	"Then Eliakim, Shebna and Joah said to Rabshakeh, ""Please speak to your servants in Aramaic, for we understand it; and don't speak to us in the Jews' language in the hearing of the people who are on the wall."""	language	0.23	0.0	0.0	0.4	0.2	0.0	0.12
bible	When this sound was heard, the multitude came together, and were bewildered, because everyone heard them speaking in his own language.	language	0.31	0.0	0.1	0.0	0.0	0.0	0.02
bible	He made all the boards of the tabernacle this way.	boards	0.15	0.6	1.0	0.2	0.0	0.8	0.52
bible	Moses raised up the tabernacle, and laid its sockets, and set up its boards, and put in its bars, and raised up its pillars.	boards	0.18	0.6	0.8	0.4	0.4	0.0	0.44
bible	He made bars of acacia wood; five for the boards of the one side of the tabernacle,	boards	0.27	0.6	0.8	0.0	0.2	0.0	0.32
bible	For these nations, that you shall dispossess, listen to those who practice sorcery, and to diviners; but as for you, Yahweh your God has not allowed you so to do.	nations	0.16	0.6	0.9	0.8	0.6	0.6	0.7
bible	Thus says the Lord Yahweh: This is Jerusalem; I have set her in the midst of the nations, and countries are around her.	nations	0.18	0.8	1.0	0.6	0.6	0.7	0.74
bible	"Look among the nations, watch, and wonder marvelously; for I am working a work in your days, which you will not believe though it is told you.	nations	0.19642857142857145
30P8I9JKOILSPEZHTY8IXW6K50Z5V4	bible	Behold, isn't it of Yahweh of Armies that the peoples labor for the fire, and the nations weary themselves for vanity?	nations	0.2361111111111111
3PA41K45VN4U7YG4VFEGPOVYAGGP71	bible	to take the spoil and to take the prey; to turn your hand against the waste places that are [now] inhabited, and against the people who are gathered out of the nations, who have gotten livestock and goods, who dwell in the middle of the earth.	nations	0.25
35O6H0UNLSGJYJZNC9UZU8VQAB25JP	bible	There is none who calls on your name, who stirs up himself to take hold of you; for you have hidden your face from us, and have consumed us by means of our iniquities.	none	0.15625
3J9L0X0VDFMO5Q1YMYQVVEU0Y5K9W9	bible	He left none remaining, but he utterly destroyed all that breathed, as Yahweh, the God of Israel, commanded.	none	0.175
3S1L4CQSFX50ZNP8OFUVNLJK9I4FAK	bible	For out of the north there comes up a nation against her, which shall make her land desolate, and none shall dwell therein: they are fled, they are gone, both man and animal.	none	0.29166666666666663
3S8A4GJRD33O8IZVYHINP2KK1TY6V5	bible	He said to me, The waters which you saw, where the prostitute sits, are peoples, multitudes, nations, and languages."	languages	0.16	1.0	1.0	1.0	1.0	0.4	0.88
bible	Yes, better than them both is him who has not yet been, who has not seen the evil work that is done under the sun.	work	0.18	0.0	0.0	0.2	0.4	0.0	0.12
bible	and their brothers, heads of their fathers' houses, one thousand seven hundred sixty; very able men for the work of the service of God's house.	work	0.24	0.8	1.0	0.8	0.8	0.7	0.82
bible	Because sentence against an evil work is not executed speedily, therefore the heart of the sons of men is fully set in them to do evil.	work	0.29	0.6	0.0	0.8	0.6	0.0	0.4
bible	and one tenth part for every lamb of the seven lambs;	tenth	0.16	0.4	1.0	0.4	0.5	1.0	0.66
bible	"'But if he can't afford two turtledoves, or two young pigeons, then he shall bring his offering for that in which he has sinned, the tenth part of an ephah of fine flour for a sin offering.	tenth	0.17857142857142855
3T2HW4QDUV7FRSVT57QUJKNX6P2C93	bible	and a tenth part for every lamb of the fourteen lambs;	tenth	0.25
37Y5RYYI0P5LZ52N59M8ESDXZTEXSW	bible	It happened when Jerusalem was taken, (in the ninth year of Zedekiah king of Judah, in the tenth month, came Nebuchadnezzar king of Babylon and all his army against Jerusalem, and besieged it;	tenth	0.26315789473684215
3FCO4VKOZ4DQA7REM1Y5VCWUWBWE7R	bible	He will take the tenth of your flocks: and you shall be his servants.	tenth	0.3076923076923077
3NSCTNUR2ZN8XQWJI3HM19S7KOMA5S	bible	While Peter was pondering the vision, the Spirit said to him, Behold, three men seek you."	vision	0.19	0.8	1.0	0.8	0.9	1.0	0.9
bible	For the vision is yet for the appointed time, and it hurries toward the end, and won't prove false.	vision	0.24	1.0	1.0	0.8	0.8	1.0	0.92
bible	"Jephthah said to them, ""I and my people were at great strife with the children of Ammon; and when I called you, you didn't save me out of their hand."	people	0.16	0.8	1.0	0.4	0.0	1.0	0.64
bible	The whole multitude of the people were praying outside at the hour of incense.	people	0.19	0.8	1.0	0.4	0.6	1.0	0.76
bible	For Yahweh won't reject his people, neither will he forsake his inheritance.	people	0.2	0.6	1.0	0.0	0.0	1.0	0.52
bible	Be in pain, and labor to bring forth, daughter of Zion, like a woman in travail; for now you will go forth out of the city, and will dwell in the field, and will come even to Babylon.	field	0.22	0.0	1.0	0.6	0.3	0.0	0.38
bible	how he set his signs in Egypt, his wonders in the field of Zoan,	field	0.25	0.6	0.7	0.0	0.0	0.0	0.26
bible	The rich man had very many flocks and herds,	herds	0.18	0.8	1.0	0.0	0.0	0.8	0.52
bible	Now the Lord is the Spirit and where the Spirit of the Lord is, there is liberty.	liberty	0.18	0.4	0.8	0.4	0.0	0.8	0.48
bible	Obey your leaders and submit to them, for they watch on behalf of your souls, as those who will give account, that they may do this with joy, and not with groaning, for that would be unprofitable for you.	account	0.32	0.6	0.8	0.8	0.8	0.0	0.6
bible	He went on his journeys from the South even to Bethel, to the place where his tent had been at the beginning, between Bethel and Ai,	tent	0.18	0.6	0.0	0.4	0.0	0.0	0.2
bible	So they and their children had the oversight of the gates of the house of Yahweh, even the house of the tent, by wards.	tent	0.25	0.6	0.4	0.4	0.0	0.0	0.28
bible	but just as he who called you is holy, you yourselves also be holy in all of your behavior;	behavior	0.38	0.8	1.0	1.0	1.0	0.0	0.76
bible	for they are spirits of demons, performing signs; which go forth to the kings of the whole inhabited earth, to gather them together for the war of that great day of God, the Almighty.	signs	0.2	0.6	0.0	0.0	0.8	0.0	0.28
bible	There will be terrors and great signs from heaven.	signs	0.23	0.4	0.7	0.8	1.0	0.0	0.58
bible	"Jesus answered them, ""Most certainly I tell you, you seek me, not because you saw signs, but because you ate of the loaves, and were filled."	signs	0.27	0.6	0.0	0.0	0.6	0.0	0.24
bible	those who were numbered of them, of the tribe of Zebulun, were fifty-seven thousand four hundred.	tribe	0.2	0.6	0.7	0.4	0.2	0.0	0.38
bible	He brought near his household man by man, and Achan, the son of Carmi, the son of Zabdi, the son of Zerah, of the tribe of Judah, was selected.	tribe	0.22	0.8	0.8	0.2	0.8	1.0	0.72
bible	He who offered his offering the first day was Nahshon the son of Amminadab, of the tribe of Judah,	tribe	0.25	0.8	0.8	0.2	0.1	0.7	0.52
bible	Of the tribe of Judah, Caleb the son of Jephunneh.	tribe	0.26	0.6	0.7	0.0	0.0	0.0	0.26
bible	Of the tribe of Asher, Sethur the son of Michael.	tribe	0.32	0.8	0.8	0.0	0.0	0.8	0.48
bible	"But Festus, desiring to gain favor with the Jews, answered Paul and said, ""Are you willing to go up to Jerusalem, and be judged by me there concerning these things?"""	Paul	0.2	0.8	0.8	0.0	0.0	0.8	0.48
bible	But when the Jews saw the multitudes, they were filled with jealousy, and contradicted the things which were spoken by Paul, and blasphemed.	Paul	0.24	0.8	1.0	0.2	0.0	0.9	0.58
bible	But after some days, Felix came with Drusilla, his wife, who was a Jewess, and sent for Paul, and heard him concerning the faith in Christ Jesus.	Paul	0.31	0.8	0.0	0.0	0.0	1.0	0.36
bible	The shout of a king is among them.	shout	0.2	1.0	1.0	0.0	0.8	0.8	0.72
bible	God has gone up with a shout, Yahweh with the sound of a trumpet.	shout	0.2	1.0	0.9	0.8	0.4	0.5	0.72
bible	Toward those who fell, severity; but toward you, goodness, if you continue in his goodness; otherwise you also will be cut off.	severity	0.34	0.6	1.0	0.8	1.0	0.0	0.68
bible	So Yahweh blessed the latter end of Job more than his beginning.	beginning	0.2	0.0	0.0	0.0	0.0	0.0	0.0
bible	But all these things are the beginning of birth pains.	beginning	0.25	0.6	0.0	0.6	0.0	0.6	0.36
bible	Therefore be wise as serpents, and harmless as doves.	doves	0.21	0.0	0.3	0.4	0.0	0.6	0.26
bible	He gave them the lands of the nations.	lands	0.21	0.8	0.8	0.4	0.0	0.5	0.5
bible	Therefore you gave them into the hand of the peoples of the lands.	lands	0.23	0.4	0.8	0.4	0.0	0.5	0.42
bible	in that day I swore to them, to bring them forth out of the land of Egypt into a land that I had searched out for them, flowing with milk and honey, which is the glory of all lands.	lands	0.28	0.6	0.8	0.2	0.8	0.4	0.56
bible	On an instrument of Gath.	instrument	0.22	0.0	1.0	0.0	0.0	0.0	0.2
bible	That which I speak, I don't speak according to the Lord, but as in foolishness, in this confidence of boasting.	boasting	0.22	0.8	0.8	0.8	0.8	0.8	0.8
bible	I find more bitter than death the woman whose heart is snares and traps, whose hands are chains.	traps	0.22	0.8	0.7	0.8	0.8	0.0	0.62
bible	"I said to the nobles, and to the rulers and to the rest of the people, ""The work is great and large, and we are separated on the wall, one far from another."	wall	0.22	1.0	0.8	0.0	0.0	0.0	0.36
bible	In the same way, that women also adorn themselves in decent clothing, with modesty and propriety; not just with braided hair, gold, pearls, or expensive clothing;	pearls	0.22	0.0	0.7	0.6	0.3	0.3	0.38
bible	So the city was besieged to the eleventh year of king Zedekiah.	eleventh	0.22	0.0	1.0	0.8	0.8	1.0	0.72
bible	"Saul's uncle said, ""Please tell me what Samuel said to you."""	Samuel	0.23	0.8	0.0	0.2	0.0	0.0	0.2
bible	and that the whole land of it is sulfur, salt, and burning, that it is not sown, nor bears, nor any grass grows therein, like the overthrow of Sodom and Gomorrah, Admah and Zeboiim, which Yahweh overthrew in his anger, and in his wrath:	overthrew	0.23	0.0	0.8	0.8	1.0	0.8	0.68
bible	They were told that they should not hurt the grass of the earth, neither any green thing, neither any tree, but only those people who don't have God's seal on their foreheads.	seal	0.23	0.0	0.8	0.8	0.8	0.0	0.48
bible	Surely I have seen yesterday the blood of Naboth, and the blood of his sons, says Yahweh; 'and I will repay you in this plot of ground,' says Yahweh.	yesterday	0.24	0.4	0.0	0.2	0.0	0.4	0.2
bible	They performed the duty of their God, and the duty of the purification, and so did the singers and the porters, according to the commandment of David, and of Solomon his son.	commandment	0.24	0.8	0.8	0.4	0.8	1.0	0.76
bible	The commandment, which was for life, this I found to be for death;	commandment	0.32	0.6	0.8	1.0	1.0	1.0	0.88
bible	He went with Joram the son of Ahab to war against Hazael king of Syria at Ramoth Gilead: and the Syrians wounded Joram.	Syrians	0.25	1.0	0.0	0.4	0.0	0.6	0.4
bible	David earned a reputation when he returned from smiting the Syrians in the Valley of Salt, even eighteen thousand men.	Syrians	0.31	0.0	1.0	0.0	0.2	0.0	0.24
bible	Then David put garrisons in Syria of Damascus; and the Syrians became servants to David, and brought tribute.	Syrians	0.35	1.0	0.0	0.2	0.2	0.8	0.44
bible	The king of Israel went out, and struck the horses and chariots, and killed the Syrians with a great slaughter.	Syrians	0.35	0.8	1.0	0.6	0.3	0.8	0.7
bible	He walked also after their counsel, and went with Jehoram the son of Ahab king of Israel to war against Hazael king of Syria at Ramoth Gilead: and the Syrians wounded Joram.	Syrians	0.41	0.8	1.0	0.2	0.3	0.8	0.62
bible	<<A Prayer of the afflicted, when he is overwhelmed and pours out his complaint before Yahweh.	Prayer	0.25	0.6	1.0	0.8	1.0	0.0	0.68
bible	God is faithful, who will not allow you to be tempted above what you are able, but will with the temptation also make the way of escape, that you may be able to endure it.	temptation	0.25	0.8	1.0	0.8	0.4	0.0	0.6
bible	There are the princes of the north, all of them, and all the Sidonians, who are gone down with the slain; in the terror which they caused by their might they are put to shame; and they lie uncircumcised with those who are slain by the sword, and bear their shame with those who go down to the pit.	terror	0.25	1.0	1.0	0.8	0.8	1.0	0.92
bible	For thus says Yahweh, Behold, I will make you a terror to yourself, and to all your friends; and they shall fall by the sword of their enemies, and your eyes shall see it; and I will give all Judah into the hand of the king of Babylon, and he shall carry them captive to Babylon, and shall kill them with the sword.	terror	0.31	1.0	1.0	1.0	0.9	1.0	0.98
bible	therefore you shall serve your enemies whom Yahweh shall send against you, in hunger, and in thirst, and in nakedness, and in want of all things: and he shall put a yoke of iron on your neck, until he has destroyed you.	nakedness	0.25	0.8	1.0	1.0	1.0	1.0	0.96
bible	"'You shall not uncover the nakedness of your father's sister: she is your father's near kinswoman.	nakedness	0.275
3R868ACW4SC7EVTBBRGCMZA5JI6ZGZ	bible	'You shall not uncover the nakedness of your mother's sister: for she is your mother's near kinswoman."	nakedness	0.3	0.0	0.9	0.6	0.8	1.0	0.66
bible	Jerusalem has grievously sinned; therefore she has become as an unclean thing; all who honored her despise her, because they have seen her nakedness: yes, she sighs, and turns backward.	nakedness	0.34	0.8	1.0	0.0	0.2	1.0	0.6
bible	David was then in the stronghold, and the garrison of the Philistines was then in Bethlehem.	stronghold	0.25	0.8	0.8	0.6	0.8	0.5	0.7
bible	Yahweh will roar from Zion, and thunder from Jerusalem; and the heavens and the earth will shake; but Yahweh will be a refuge to his people, and a stronghold to the children of Israel.	stronghold	0.28	0.8	0.7	0.6	0.8	0.0	0.58
bible	Howl, you ships of Tarshish, for your stronghold is laid waste!	stronghold	0.33	0.8	0.8	0.8	0.8	0.4	0.72
bible	There came of the children of Benjamin and Judah to the stronghold to David.	stronghold	0.38	0.8	1.0	0.0	0.0	0.8	0.52
bible	On the cliff he dwells, and makes his home, on the point of the cliff, and the stronghold.	stronghold	0.43	0.8	0.8	0.8	0.8	0.0	0.64
bible	My hand has found the riches of the peoples like a nest, and like one gathers eggs that are abandoned, have I gathered all the earth.	nest	0.25	0.8	0.8	0.6	0.2	0.8	0.64
bible	The arrow snake will make her nest there, and lay, hatch, and gather under her shade.	nest	0.35	0.8	0.8	0.4	0.1	0.0	0.42
bible	Now I have prepared with all my might for the house of my God the gold for the things of gold, and the silver for the things of silver, and the brass for the things of brass, the iron for the things of iron, and wood for the things of wood; onyx stones, and stones to be set, stones for inlaid work, and of various colors, and all kinds of precious stones, and marble stones in abundance.	marble	0.25	0.4	0.5	0.0	0.2	0.3	0.28
bible	Prophesy deceits.	deceits	0.25	0.8	0.8	0.8	1.0	1.0	0.88
bible	Paul, an apostle of Christ Jesus through the will of God, and Timothy our brother, to the assembly of God which is at Corinth, with all the saints who are in the whole of Achaia:	assembly	0.25	0.0	0.0	0.0	0.0	0.0	0.0
bible	For there were many in the assembly who had not sanctified themselves: therefore the Levites were in charge of killing the Passovers for everyone who was not clean, to sanctify them to Yahweh.	assembly	0.29	0.6	0.0	0.4	0.6	0.0	0.32
bible	Jehoshaphat stood in the assembly of Judah and Jerusalem, in the house of Yahweh, before the new court;	assembly	0.32	0.4	0.0	0.6	0.4	0.0	0.28
bible	For you have heard of my way of living in time past in the Jews' religion, how that beyond measure I persecuted the assembly of God, and ravaged it.	assembly	0.37	0.8	0.0	0.0	0.0	0.0	0.16
bible	Fearfulness and trembling have come on me.	Fearfulness	0.25	0.8	0.0	1.0	1.0	1.0	0.76
bible	and they fetched forth Uriah out of Egypt, and brought him to Jehoiakim the king, who killed him with the sword, and cast his dead body into the graves of the common people.	graves	0.26	0.6	0.8	0.6	0.5	0.0	0.5
bible	I will reach out my hand and strike Egypt with all my wonders which I will do in its midst, and after that he will let you go.	strike	0.26	0.8	0.8	0.8	0.0	0.0	0.48
bible	"The Spirit and the bride say, ""Come!"""	bride	0.26	0.8	0.8	0.0	0.0	0.5	0.42
bible	Rebekah took the good clothes of Esau, her elder son, which were with her in the house, and put them on Jacob, her younger son.	Rebekah	0.26	0.8	0.8	0.4	0.0	0.0	0.4
bible	Rebekah lifted up her eyes, and when she saw Isaac, she dismounted from the camel.	Rebekah	0.28	0.8	0.8	0.0	0.2	0.8	0.52
bible	Rebekah arose with her ladies.	Rebekah	0.3	0.0	0.8	0.0	0.0	0.5	0.26
bible	"Rebekah said to Isaac, ""I am weary of my life because of the daughters of Heth."	Rebekah	0.32	0.8	0.8	0.8	0.9	0.0	0.66
